uncertainty_kind,uncertainty_name,uncertainty_percentage,uncertainty_category,uncertainty_lower_bound,uncertainty_upper_bound,uncertainty_default,description
wind,representativeness_long_term_period,2.0,Historical_wind_resource,0,5,2.0,"Uncertainty associated with the statistical representativeness of the chosen historical and/or site data period."
wind,reference_data_consistency,0.5,Historical_wind_resource,0,5,0.5,"Uncertainty associated with the accuracy or reliability of the chosen reference data source."
wind,long_term_adjustment_mcp,1.5,Historical_wind_resource,0,5,1.5,"Uncertainty associated with the MCP process, including statistical or empirical uncertainty in establishing a correlation or making a prediction."
wind,ws_distribution_uncertainty,0.5,Historical_wind_resource,0,5,0.5,"Uncertainty associated with the representativeness of the measured or predicted wind speed distribution."
wind,on_site_data_synthesis,0.2,Historical_wind_resource,0,5,0.2,"Uncertainty associated with gap-filling missing data periods, usually done using directional correlations or the measure-correlate-predict process."
wind,measurements_representativeness,0.1,Historical_wind_resource,0,5,0.1,"Uncertainty including effects from wind speed sensor characteristics, mounting or deployment, and data handling and processing."
wind,iav_variability,0.21,Representativeness,0,5,0.21,"Uncertainty associated with interannual variability of wind speed data, climate change, and plant performance. Adjust accordingly for an N-year horizon. Usually, the longer the period, the lower the inherent variability."
wind,ws_measurements_uncertainty,2.0,Wind_measurements_uncertainty,0,5,2.0,"Uncertainty associated with sensor type or quality, operational characteristics, and mounting effects for wind speed."
wind,wd_measurements_uncertainty,1.0,Wind_measurements_uncertainty,0,5,1.0,"Uncertainty associated with sensor type or quality, operational characteristics, and mounting effects for wind direction."
wind,other_atm_param_uncertainty,0.5,Wind_measurements_uncertainty,0,5,0.5,"Uncertainty associated with temperature, pressure, humidity, and air density measurements."
wind,data_integrity,0.5,Wind_measurements_uncertainty,0,5,0.5,"Uncertainty associated with documentation, verification, and traceability of the data."
wind,he_model_inputs,1.08,Horizontal_Extrapolation,0,5,1.08,"Uncertainty associated with model sensitivity to terrain data, roughness, forestry information, and atmospheric conditions."
wind,he_model_sensitivity,2.64,Horizontal_Extrapolation,0,5,2.64,"Uncertainty associated with the representativeness of initiation points relative to turbine locations, considering complicating factors (e.g., forestry, stability, steep slopes, elevation, veer)."
wind,he_model_appropriateness,2.17,Horizontal_Extrapolation,0,5,2.17,"Uncertainty associated with the scientific plausibility of the model to capture complicating factors."
wind,ve_model_uncertainty,0.8,Vertical_Extrapolation,0,5,0.8,"Uncertainty associated with large extrapolation distance, terrain surface characterization, wind data measurement heights, and complex terrain."
wind,ve_propagated_measurement_uncertainty,0.73,Vertical_Extrapolation,0,5,0.37,"Uncertainty associated with the propagation of measurement uncertainty from wind speed and direction measurements to the extrapolated wind speed at turbine hub height."
energy,turbine_interaction_wake_blockage_effects,1.76,Wakes,0,5,1.76,"Uncertainty associated with the model appropriateness and sensitivity used to characterize wake, blockage, and turbine interaction effects."
energy,turbine,2.5,Availability,0,5,2.5,"Uncertainty associated with the turbine availability losses estimate."
energy,balance_of_plant,1.17,Availability,0,5,1.17,"Uncertainty associated with the balance of plant losses estimate."
energy,grid,0.5,Availability,0,5,0.5,"Uncertainty associated with the grid availability losses estimate."
energy,electrical_efficiency,0.5,Electrical,0,5,0.5,"Uncertainty associated with the electrical efficiency losses estimate."
energy,parasitic_consumption,0.0,Electrical,0,5,0.0,"Uncertainty associated with the parasitic consumption losses estimate."
energy,sub_optimal_performance,0.71,Turbine_performance,0,5,0.71,"Uncertainty associated with the turbine sub-optimal performance losses estimate."
energy,generic_power_curve_adjustments,2.0,Turbine_performance,0,5,2.0,"Uncertainty associated with generic power curve adjustment losses estimate."
energy,site_specific_power_curve_adjustments,0.87,Turbine_performance,0,5,0.87,"Uncertainty associated with site-specific power curve adjustment losses estimate (e.g., air density corrected power curve)."
energy,high_wind_hysteresis,0.0,Turbine_performance,0,5,0.0,"Uncertainty associated with high wind hysteresis losses estimate."
energy,icing,0.01,Environmental,0,5,0.01,"Uncertainty associated with icing losses estimate."
energy,degradation,0.25,Environmental,0,5,0.25,"Uncertainty associated with degradation losses estimate."
energy,environmental_loss_uncertainty,0.01,Environmental,0,5,0.01,"Uncertainty associated with environmental losses estimate."
energy,exposure_changes,0.0,Environmental,0,5,0.0,"Uncertainty associated with exposure changes losses estimate."
energy,load_curtailment,0.01,Curtailments,0,5,0.01,"Uncertainty associated with load curtailment losses estimate."
energy,grid_curtailment,0.0,Curtailments,0,5,0.0,"Uncertainty associated with grid curtailment losses estimate."
energy,environmental_curtailment,0.01,Curtailments,0,5,0.01,"Uncertainty associated with environmental curtailment losses estimate."
energy,operational_strategies,0.01,Operational_strategies,0,5,0.01,"Uncertainty associated with operational strategy losses estimate (such as sector management)."
