dimension,granularity,indicator_name,result,status
cost,activities,fixed_cost,,Column 'cost:fixed' is not present in event log.
cost,activities,human_resource_count,48,Success
cost,activities,inventory_cost,,Column 'cost:inventory' is not present in event log.
cost,activities,labor_cost,,Column 'cost:labor' is not present in event log.
cost,activities,labor_cost_and_total_cost_ratio,,Column 'cost:labor' is not present in event log.
cost,activities,resource_count,,Column 'org:resource' is not present in event log.
cost,activities,rework_cost,,Column 'cost:total' is not present in event log.
cost,activities,rework_count,85,Success
cost,activities,rework_percentage,0.574,Success
cost,activities,total_cost,,Column 'cost:total' is not present in event log.
cost,activities,total_cost_and_lead_time_ratio,,Column 'cost:total' is not present in event log.
cost,activities,total_cost_and_outcome_unit_ratio,,Column 'cost:total' is not present in event log.
cost,activities,total_cost_and_service_time_ratio,,Column 'cost:total' is not present in event log.
cost,activities,variable_cost,,Column 'cost:variable' is not present in event log.
cost,cases,automated_activity_cost,0,Success
cost,cases,desired_activity_count,2,Success
cost,cases,direct_cost,,Column 'cost:total' is not present in event log.
cost,cases,fixed_cost,,Column 'cost:fixed' is not present in event log.
cost,cases,human_resource_count,3,Success
cost,cases,inventory_cost,,Column 'cost:inventory' is not present in event log.
cost,cases,labor_cost,,Column 'cost:labor' is not present in event log.
cost,cases,labor_cost_and_total_cost_ratio,,Column 'cost:labor' is not present in event log.
cost,cases,maintenance_cost,,Column 'cost:maintenance' is not present in event log.
cost,cases,missed_deadline_cost,,Column 'cost:missed_deadline' is not present in event log.
cost,cases,overhead_cost,,Column 'cost:total' is not present in event log.
cost,cases,resource_count,,Column 'org:resource' is not present in event log.
cost,cases,rework_cost,,Column 'cost:total' is not present in event log.
cost,cases,rework_count,2,Success
cost,cases,rework_percentage,0.333,Success
cost,cases,total_cost,,Column 'cost:total' is not present in event log.
cost,cases,total_cost_and_lead_time_ratio,,Column 'cost:total' is not present in event log.
cost,cases,total_cost_and_outcome_unit_ratio,,Column 'cost:total' is not present in event log.
cost,cases,total_cost_and_service_time_ratio,,Column 'cost:total' is not present in event log.
cost,cases,transportation_cost,,Column 'cost:transportation' is not present in event log.
cost,cases,variable_cost,,Column 'cost:variable' is not present in event log.
cost,cases,warehousing_cost,,Column 'cost:warehousing' is not present in event log.
cost,groups,automated_activity_cost,,Column 'cost:total' is not present in event log.
cost,groups,desired_activity_count,6,Success
cost,groups,direct_cost,,Column 'cost:total' is not present in event log.
cost,groups,expected_automated_activity_cost,,Column 'cost:total' is not present in event log.
cost,groups,expected_desired_activity_count,2.0,Success
cost,groups,expected_direct_cost,,Column 'cost:total' is not present in event log.
cost,groups,expected_fixed_cost,,Column 'cost:fixed' is not present in event log.
cost,groups,expected_human_resource_count,3.333,Success
cost,groups,expected_inventory_cost,,Column 'cost:inventory' is not present in event log.
cost,groups,expected_labor_cost,,Column 'cost:labor' is not present in event log.
cost,groups,expected_labor_cost_and_total_cost_ratio,,Column 'cost:labor' is not present in event log.
cost,groups,expected_maintenance_cost,,Column 'cost:maintenance' is not present in event log.
cost,groups,expected_missed_deadline_cost,,Column 'cost:missed_deadline' is not present in event log.
cost,groups,expected_overhead_cost,,Column 'cost:total' is not present in event log.
cost,groups,expected_resource_count,,Column 'org:resource' is not present in event log.
cost,groups,expected_rework_cost,,Column 'cost:total' is not present in event log.
cost,groups,expected_rework_count,3.667,Success
cost,groups,expected_rework_percentage,0.401,Success
cost,groups,expected_total_cost,,Column 'cost:total' is not present in event log.
cost,groups,expected_total_cost_and_lead_time_ratio,,Column 'cost:total' is not present in event log.
cost,groups,expected_total_cost_and_outcome_unit_ratio,,Column 'cost:total' is not present in event log.
cost,groups,expected_total_cost_and_service_time_ratio,,Column 'cost:total' is not present in event log.
cost,groups,expected_transportation_cost,,Column 'cost:transportation' is not present in event log.
cost,groups,expected_variable_cost,,Column 'cost:variable' is not present in event log.
cost,groups,expected_warehousing_cost,,Column 'cost:warehousing' is not present in event log.
cost,groups,fixed_cost,,Column 'cost:fixed' is not present in event log.
cost,groups,human_resource_and_case_count_ratio,3.333,Success
cost,groups,human_resource_count,10,Success
cost,groups,inventory_cost,,Column 'cost:inventory' is not present in event log.
cost,groups,labor_cost,,Column 'cost:labor' is not present in event log.
cost,groups,labor_cost_and_total_cost_ratio,,Column 'cost:labor' is not present in event log.
cost,groups,maintenance_cost,,Column 'cost:maintenance' is not present in event log.
cost,groups,missed_deadline_cost,,Column 'cost:missed_deadline' is not present in event log.
cost,groups,overhead_cost,,Column 'cost:total' is not present in event log.
cost,groups,resource_count,,Column 'org:resource' is not present in event log.
cost,groups,rework_cost,,Column 'cost:total' is not present in event log.
cost,groups,rework_count,11,Success
cost,groups,rework_percentage,0.44,Success
cost,groups,total_cost,,Column 'cost:total' is not present in event log.
cost,groups,total_cost_and_lead_time_ratio,,Column 'cost:total' is not present in event log.
cost,groups,total_cost_and_outcome_unit_ratio,,Column 'cost:total' is not present in event log.
cost,groups,total_cost_and_service_time_ratio,,Column 'cost:total' is not present in event log.
cost,groups,transportation_cost,,Column 'cost:transportation' is not present in event log.
cost,groups,variable_cost,,Column 'cost:variable' is not present in event log.
cost,groups,warehousing_cost,,Column 'cost:warehousing' is not present in event log.
cost,instances,fixed_cost_for_single_events_of_activity_instances,,Column 'cost:fixed' is not present in event log.
cost,instances,fixed_cost_for_sum_of_all_events_of_activity_instances,,Column 'cost:fixed' is not present in event log.
cost,instances,inventory_cost_for_single_events_of_activity_instances,,Column 'cost:inventory' is not present in event log.
cost,instances,inventory_cost_for_sum_of_all_events_of_activity_instances,,Column 'cost:inventory' is not present in event log.
cost,instances,labor_cost_and_total_cost_ratio,,Column 'cost:labor' is not present in event log.
cost,instances,labor_cost_for_single_events_of_activity_instances,,Column 'cost:labor' is not present in event log.
cost,instances,labor_cost_for_sum_of_all_events_of_activity_instances,,Column 'cost:labor' is not present in event log.
cost,instances,total_cost_and_lead_time_ratio,,Column 'cost:total' is not present in event log.
cost,instances,total_cost_and_outcome_unit_ratio,,Column 'cost:total' is not present in event log.
cost,instances,total_cost_and_service_time_ratio,,Column 'cost:total' is not present in event log.
cost,instances,total_cost_for_single_events_of_activity_instances,,Column 'cost:total' is not present in event log.
cost,instances,total_cost_for_sum_of_all_events_of_activity_instances,,Column 'cost:total' is not present in event log.
cost,instances,variable_cost_for_single_events_of_activity_instances,,Column 'cost:variable' is not present in event log.
cost,instances,variable_cost_for_sum_of_all_events_of_activity_instances,,Column 'cost:variable' is not present in event log.
flexibility,activities,activity_instance_and_human_resource_count_ratio,3.083,Success
flexibility,activities,client_count,60,Success
flexibility,activities,directly_follows_relations_count,5,Success
flexibility,activities,human_resource_count,48,Success
flexibility,cases,activity_and_role_count_ratio,4.0,Success
flexibility,cases,activity_instance_and_human_resource_count_ratio,2.0,Success
flexibility,cases,directly_follows_relations_and_activity_count_ratio,1.0,Success
flexibility,cases,directly_follows_relations_count,4,Success
flexibility,cases,human_resource_count,3,Success
flexibility,cases,optional_activity_count,2,Success
flexibility,cases,optionality,0.5,Success
flexibility,cases,role_count,1,Success
flexibility,cases,variant_case_coverage,0.01,Success
flexibility,groups,activity_and_role_count_ratio,2.8,Success
flexibility,groups,activity_instance_and_human_resource_count_ratio,2.5,Success
flexibility,groups,client_count,3,Success
flexibility,groups,directly_follows_relations_and_activity_count_ratio,0.857,Success
flexibility,groups,directly_follows_relations_count,12,Success
flexibility,groups,expected_activity_and_role_count_ratio,2.8,Success
flexibility,groups,expected_activity_instance_and_human_resource_count_ratio,2.5,Success
flexibility,groups,expected_client_count,1.0,Success
flexibility,groups,expected_directly_follows_relations_and_activity_count_ratio,1.214,Success
flexibility,groups,expected_directly_follows_relations_count,5.667,Success
flexibility,groups,expected_human_resource_count,3.333,Success
flexibility,groups,expected_optional_activity_count,2.667,Success
flexibility,groups,expected_optionality,0.571,Success
flexibility,groups,expected_role_count,1.667,Success
flexibility,groups,human_resource_count,10,Success
flexibility,groups,optional_activity_count,5,Success
flexibility,groups,optionality,0.357,Success
flexibility,groups,role_and_variant_count_ratio,1.667,Success
flexibility,groups,role_count,5,Success
flexibility,groups,variant_case_coverage,0.04,Success
flexibility,groups,variant_count,3,Success
general,activities,activity_instance_count,148,Success
general,activities,human_resource_count,48,Success
general,activities,resource_count,,Column 'org:resource' is not present in event log.
general,cases,activity_count,4,Success
general,cases,activity_instance_count,6,Success
general,cases,human_resource_count,3,Success
general,cases,resource_count,,Column 'org:resource' is not present in event log.
general,cases,role_count,1,Success
general,groups,activity_count,14,Success
general,groups,activity_instance_count,25,Success
general,groups,case_count,3,Success
general,groups,expected_activity_count,4.667,Success
general,groups,expected_activity_instance_count,8.333,Success
general,groups,expected_human_resource_count,3.333,Success
general,groups,expected_resource_count,,Column 'org:resource' is not present in event log.
general,groups,expected_role_count,1.667,Success
general,groups,human_resource_count,10,Success
general,groups,resource_count,,Column 'org:resource' is not present in event log.
general,groups,role_count,5,Success
quality,activities,activity_instance_count_by_human_resource,2,Success
quality,activities,client_count_and_total_cost_ratio,,Column 'cost:total' is not present in event log.
quality,activities,human_resource_count,48,Success
quality,activities,outcome_unit_count,,Column 'outcome_unit' is not present in event log.
quality,activities,rework_count,85,Success
quality,activities,rework_count_by_value,85,Success
quality,activities,rework_percentage,0.574,Success
quality,activities,rework_percentage_by_value,0.574,Success
quality,activities,rework_time,296 days 22:23:00,Success
quality,activities,successful_outcome_unit_count,,Column 'outcome_unit' is not present in event log.
quality,activities,successful_outcome_unit_percentage,,Column 'outcome_unit' is not present in event log.
quality,activities,total_cost_and_client_count_ratio,,Column 'cost:total' is not present in event log.
quality,cases,activity_instance_count_by_human_resource,4,Success
quality,cases,activity_instance_count_by_role,6,Success
quality,cases,automated_activity_count,0,Success
quality,cases,automated_activity_instance_count,0,Success
quality,cases,desired_activity_count,2,Success
quality,cases,human_resource_count,3,Success
quality,cases,non_automated_activity_count,4,Success
quality,cases,non_automated_activity_instance_count,6,Success
quality,cases,outcome_unit_count,,Column 'outcome_unit' is not present in event log.
quality,cases,overall_quality,,Column 'quality' is not present in event log.
quality,cases,repeatability,0.33299999999999996,Success
quality,cases,rework_count,2,Success
quality,cases,rework_count_by_value,2,Success
quality,cases,rework_of_activities_subset,2,Success
quality,cases,rework_percentage,0.333,Success
quality,cases,rework_percentage_by_value,0.333,Success
quality,cases,rework_time,2 days 03:51:00,Success
quality,cases,successful_outcome_unit_count,,Column 'outcome_unit' is not present in event log.
quality,cases,successful_outcome_unit_percentage,,Column 'outcome_unit' is not present in event log.
quality,cases,unwanted_activity_count,1,Success
quality,cases,unwanted_activity_instance_count,1,Success
quality,cases,unwanted_activity_instance_percentage,0.167,Success
quality,cases,unwanted_activity_percentage,0.25,Success
quality,groups,activity_instance_count_by_human_resource,4,Success
quality,groups,activity_instance_count_by_role,6,Success
quality,groups,automated_activity_count,1,Success
quality,groups,automated_activity_instance_count,2,Success
quality,groups,case_and_client_count_ratio,1.0,Success
quality,groups,case_count_where_activity_after_time_frame,1,Success
quality,groups,case_count_where_activity_before_time_frame,0,Success
quality,groups,case_count_where_activity_during_time_frame,3,Success
quality,groups,case_count_where_end_activity_is_a,0,Success
quality,groups,case_count_where_start_activity_is_a,1,Success
quality,groups,case_count_with_rework,3,Success
quality,groups,case_percentage_where_activity_after_time_frame,0.333,Success
quality,groups,case_percentage_where_activity_before_time_frame,0.0,Success
quality,groups,case_percentage_where_activity_during_time_frame,1.0,Success
quality,groups,case_percentage_where_end_activity_is_a,0.0,Success
quality,groups,case_percentage_where_start_activity_is_a,0.333,Success
quality,groups,case_percentage_with_missed_deadline,1,Success
