param,i,j,value
S0,0,0,23453
S0,0,1,0
S0,0,2,0
S0,0,3,0
S0,0,4,0
S0,1,0,0
S0,1,1,23453
S0,1,2,0
S0,1,3,0
S0,1,4,0
S0,2,0,0
S0,2,1,0
S0,2,2,23453
S0,2,3,0
S0,2,4,0
S0,3,0,0
S0,3,1,0
S0,3,2,0
S0,3,3,23453
S0,3,4,0
S0,4,0,0
S0,4,1,0
S0,4,2,0
S0,4,3,0
S0,4,4,23453
Stop_time,0,0,5.0
Time_before_present,0,0,21.1556979488
nSampled_tips,0,0,214
R2S,0,0,0.0076761873
R2S,1,1,0.0076761873
R2S,2,2,0.0076761873
R2S,3,3,0.0076761873
R2S,4,4,0.0076761873
Total_S0,0,0,23453
Total_S0,1,1,23453
Total_S0,2,2,23453
Total_S0,3,3,23453
Total_S0,4,4,23453
VisitStationaryFreqs,0,0,0.9620946219
VisitStationaryFreqs,0,1,0.0094763445
VisitStationaryFreqs,0,2,0.0094763445
VisitStationaryFreqs,0,3,0.0094763445
VisitStationaryFreqs,0,4,0.0094763445
VisitStationaryFreqs,1,0,0.0094763445
VisitStationaryFreqs,1,1,0.9620946219
VisitStationaryFreqs,1,2,0.0094763445
VisitStationaryFreqs,1,3,0.0094763445
VisitStationaryFreqs,1,4,0.0094763445
VisitStationaryFreqs,2,0,0.0094763445
VisitStationaryFreqs,2,1,0.0094763445
VisitStationaryFreqs,2,2,0.9620946219
VisitStationaryFreqs,2,3,0.0094763445
VisitStationaryFreqs,2,4,0.0094763445
VisitStationaryFreqs,3,0,0.0094763445
VisitStationaryFreqs,3,1,0.0094763445
VisitStationaryFreqs,3,2,0.0094763445
VisitStationaryFreqs,3,3,0.9620946219
VisitStationaryFreqs,3,4,0.0094763445
VisitStationaryFreqs,4,0,0.0094763445
VisitStationaryFreqs,4,1,0.0094763445
VisitStationaryFreqs,4,2,0.0094763445
VisitStationaryFreqs,4,3,0.0094763445
VisitStationaryFreqs,4,4,0.9620946219
VisitApproxInfect,0,0,0.0002781171
VisitApproxInfect,0,1,2.7394e-06
VisitApproxInfect,0,2,2.7394e-06
VisitApproxInfect,0,3,2.7394e-06
VisitApproxInfect,0,4,2.7394e-06
VisitApproxInfect,1,0,2.7394e-06
VisitApproxInfect,1,1,0.0002781171
VisitApproxInfect,1,2,2.7394e-06
VisitApproxInfect,1,3,2.7394e-06
VisitApproxInfect,1,4,2.7394e-06
VisitApproxInfect,2,0,2.7394e-06
VisitApproxInfect,2,1,2.7394e-06
VisitApproxInfect,2,2,0.0002781171
VisitApproxInfect,2,3,2.7394e-06
VisitApproxInfect,2,4,2.7394e-06
VisitApproxInfect,3,0,2.7394e-06
VisitApproxInfect,3,1,2.7394e-06
VisitApproxInfect,3,2,2.7394e-06
VisitApproxInfect,3,3,0.0002781171
VisitApproxInfect,3,4,2.7394e-06
VisitApproxInfect,4,0,2.7394e-06
VisitApproxInfect,4,1,2.7394e-06
VisitApproxInfect,4,2,2.7394e-06
VisitApproxInfect,4,3,2.7394e-06
VisitApproxInfect,4,4,0.0002781171
StartState,0,0,0
StartState,1,1,0
actual_sim_time,0,0,5.0
SampleCount,0,0,13359.0
SampleCount,1,1,12175.0
SampleCount,2,2,11379.0
SampleCount,3,3,11662.0
SampleCount,4,4,11380.0
num_sampled_per_capita,0,0,0.5696072997
num_sampled_per_capita,1,1,0.5191233531
num_sampled_per_capita,2,2,0.4851831322
num_sampled_per_capita,3,3,0.4972498188
num_sampled_per_capita,4,4,0.4852257707
Prevalence,0,0,1.0
Prevalence,1,1,0.0
Prevalence,2,2,0.0
Prevalence,3,3,0.0
Prevalence,4,4,0.0
per_capita_prevalence_at_t,0,0,4.26385e-05
per_capita_prevalence_at_t,1,1,0.0
per_capita_prevalence_at_t,2,2,0.0
per_capita_prevalence_at_t,3,3,0.0
per_capita_prevalence_at_t,4,4,0.0
