# Adami+18 (https://ui.adsabs.harvard.edu/abs/2018A%26A...620A...5A/abstract)
# http://cosmosdb.iasf-milano.inaf.it/XXL/
#
# XXL Database
# File    : .txt.gz
# Date    : 2020-11-03 18:58
# Table   : XXL_365_GC
# Columns : 28
# Rows    : 365
# SQL     : SELECT XXL_365_GC.identifier, XXL_365_GC.xlssc, XXL_365_GC.
#           ra, XXL_365_GC.decl, XXL_365_GC.z, XXL_365_GC.ngal, XXL_365
#           _GC.class, XXL_365_GC.Mgas500kpc, XXL_365_GC.Mgas500kpc_m, 
#           XXL_365_GC.Mgas500kpc_p, XXL_365_GC.r500mt, XXL_365_GC.T300
#           kpc, XXL_365_GC.T300kpc_m, XXL_365_GC.T300kpc_p, XXL_365_GC
#           .LXXL500MT, XXL_365_GC.LXXL500MT_err, XXL_365_GC.f60, XXL_3
#           65_GC.f60_err, XXL_365_GC.flag, XXL_365_GC.tab, XXL_365_GC.
#           T300kpcscal , XXL_365_GC.T300kpcscal_err, XXL_365_GC.r500sc
#           al, XXL_365_GC.r500scal_err, XXL_365_GC.M500scal, XXL_365_G
#           C.M500scal_err, XXL_365_GC.Lbol500scal, XXL_365_GC.Lbol500s
#           cal_err FROM XXL_365_GC
# identifier	xlssc	ra	decl	z	ngal	class	Mgas500kpc	Mgas500kpc_m	Mgas500kpc_p	r500mt	T300kpc	T300kpc_m	T300kpc_p	LXXL500MT	LXXL500MT_err	f60	f60_err	flag	tab	T300kpcscal	T300kpcscal_err	r500scal	r500scal_err	M500scal	M500scal_err	Lbol500scal	Lbol500scal_err
# VARCHAR	INTEGER	DOUBLE	DOUBLE	FLOAT	INTEGER	INTEGER	FLOAT	FLOAT	FLOAT	FLOAT	FLOAT	FLOAT	FLOAT	DOUBLE	DOUBLE	FLOAT	FLOAT	CHAR	CHAR	FLOAT	FLOAT	FLOAT	FLOAT	DOUBLE	DOUBLE	DOUBLE	DOUBLE
# --	--	deg	deg		--	--	1E11 solar mass	1E11 solar mass	1E11 solar mass	kpc	keV	keV	keV	1E42 erg/s	1E42 erg/s	1E-15 erg/cm2/s	1E-15 erg/cm2/s	--	--	keV	keV	kpc	kpc	1E13 solar mass	1E13 solar mass	1E42 erg/s	1E42 erg/s
XLSSC 199	199	30.192	-6.708	0.339	2	1	 72.59	 -5.12	  3.83	644	2.06	-0.20	0.28	 31.92	  2.97	67	5	l	5	3.28	0.27	834.	 81.	 22.90	  6.69	110.00	  7.18
XLSSC 200	200	30.331	-6.830	0.333	2	1	 48.04	 -2.92	  2.51	653	2.10	-0.21	0.30	 16.27	  1.70	31	3	l	5	2.49	0.21	717.	 66.	 14.40	  3.99	 51.00	  4.14
XLSSC 114	114	30.425	-5.031	0.234	6	2	 39.86	 -2.76	  2.84	-1	-1.00	-1.00	-1.00	 -1.00	 -1.00	35	8	l	5	2.23	0.27	711.	 73.	 12.60	  3.88	 35.00	  9.06
XLSSC 179	179	30.482	-6.574	0.608	5	1	 42.83	-11.31	 10.47	-1	-1.00	-1.00	-1.00	 -1.00	 -1.00	14	4	l	5	2.60	0.36	629.	 71.	 13.30	  4.48	 72.00	 15.60
XLSSC 113	113	30.561	-7.009	0.050	9	1	  8.40	 -0.36	  0.42	-1	-1.00	-1.00	-1.00	 -1.00	 -1.00	115	8	l	5	1.27	0.11	566.	 49.	  5.33	  1.38	  7.00	  0.90
XLSSC 174	174	30.592	-5.899	0.235	8	1	 40.93	 -3.61	  2.99	570	1.50	-0.09	0.09	  7.82	  0.54	25	4	l	5	2.06	0.18	678.	 61.	 11.00	  2.97	 28.00	  3.82
XLSSC 094	094	30.648	-6.732	0.886	3	1	106.46	-11.04	 11.09	581	3.01	-0.50	0.58	223.57	 31.58	48	5	+,l	5	5.58	0.91	823.	113.	 41.10	 16.90	680.00	 61.50
XLSSC 196	196	30.728	-7.652	0.136	8	1	 26.23	 -2.19	  1.78	563	1.34	-0.08	0.17	  4.20	  0.50	32	4	l	5	1.58	0.13	615.	 52.	  7.42	  1.90	 13.00	  1.40
XLSSC 178	178	30.753	-6.285	0.194	2	2	 29.50	 -4.05	  2.50	655	0.81	-0.05	0.05	  2.60	  0.17	17	3	l	5	1.46	0.15	570.	 52.	  6.26	  1.71	 11.00	  1.99
XLSSC 156	156	30.766	-7.101	0.336	4	2	 33.37	 -2.92	  2.91	-1	-1.00	-1.00	-1.00	 -1.00	 -1.00	28	4	l	5	2.10	0.22	649.	 63.	 10.70	  3.11	 32.00	  5.99
