"","Age","Marital_Status","Dependents","Education_Level","Employment_Type","Years_Employed","Housing_Status","Annual_Income","Credit_History_Length","Debt_to_Income_Ratio","Loan_Amount","Loan_Term","Interest_Rate","Purpose","Credit_Score","Credit_Utilization","Num_Past_Due_Payments","Num_Credit_Cards","Has_Mortgage","Savings_Account_Balance","Checking_Account_Balance","Past_Default","Co_Signer","Loan_Default"
"1",52,"Single",2,"HighSchool","Unemployed",1,"Mortgage",34411,5,0.846,14474,36,9.72,"Home_Improvement",790,0.245,1,4,"Yes",540,5219,"No","No","No"
"2",32,"Single",1,"Bachelor","Salaried",13,"Own",82041,14,0.233,32348,36,9.89,"Auto",840,0.331,0,7,"No",6609,34505,"No","No","No"
"3",42,"Married",3,"Bachelor","Salaried",19,"Own",135576,24,0.395,56857,48,13.05,"Business",850,0.477,0,8,"Yes",30784,7625,"No","No","No"
"4",44,"Married",1,"HighSchool","Retired",0,"Own",44617,5,0.424,20591,72,12.08,"Debt_Consolidation",820,0.62,0,2,"Yes",3512,8619,"No","No","No"
"5",42,"Single",2,"Other","Self_Employed",20,"Mortgage",55594,24,0.95,78470,60,15.26,"Business",804,0.507,1,5,"Yes",18565,7497,"No","Yes","No"
"6",37,"Married",2,"HighSchool","Self_Employed",13,"Mortgage",62807,19,0.606,31542,48,11.44,"Education",725,0.371,0,3,"Yes",3950,1519,"No","No","No"
"7",53,"Married",1,"Master","Self_Employed",34,"Mortgage",152457,35,0.743,59405,12,10.26,"Auto",812,0.608,1,9,"Yes",3146,13262,"No","No","No"
"8",37,"Single",2,"Bachelor","Salaried",16,"Own",95345,19,0.237,11979,36,10.95,"Vacation",754,0.282,0,4,"No",12593,3899,"No","No","No"
"9",58,"Married",0,"HighSchool","Unemployed",0,"Own",39167,3,0.613,7235,24,10.86,"Medical",700,0.441,1,4,"Yes",829,8180,"No","No","Yes"
"10",37,"Married",3,"Bachelor","Salaried",18,"Own",109613,19,0.845,73042,18,11.73,"Education",849,0.485,0,7,"Yes",56037,11147,"No","No","No"
"11",51,"Divorced",0,"Master","Salaried",31,"Own",117693,33,0.418,31235,24,9.99,"Credit_Card",850,0.417,0,8,"Yes",15115,8763,"No","No","No"
"12",61,"Single",0,"PhD","Salaried",37,"Own",4e+05,42,0.515,122271,36,10.24,"Credit_Card",850,0.231,0,15,"Yes",23542,33318,"No","No","No"
