"ID","Country","Sales","Profit","Assets","Value"
1,"US",15.264,6.261,234.234,55.157
2,"US",31.454,11.662,12.398,6.204
3,"China",36.713,16.065,46.544,184.417
4,"Japan",0.743,-6.856,0.765,29.102
5,"US",2.511,7.644,26.513,48.27
6,"Japan",28.391,4.222,258.418,40.879
7,"Japan",14.372,2.375,336.15,24.933
8,"China",8.717,9.097,64.232,46.518
9,"China",1.388,-2.615,65.865,6.502
10,"US",4.274,2.434,30.947,40.633
11,"US",5.983,28.638,144.892,263.381
12,"US",4.713,9.902,106.039,85.291
13,"China",14.861,12.618,46.274,98.187
14,"US",34.199,20.349,16.745,193.477
15,"China",19.636,1.456,28.821,41.445
16,"US",0.405,0.217,81.615,84.212
17,"China",3.571,13.618,10.979,175.363
18,"UK",65.187,24.611,70.119,67.163
19,"US",27.291,7.466,258.969,26.552
20,"China",1.822,2.723,65.544,21.347
21,"Japan",23.822,7.785,5.061,31.371
22,"US",5.257,5.199,33.55,75.664
23,"China",25.069,2.426,132.626,57.113
24,"US",7.585,18.016,68.518,62.862
25,"US",7.577,6.539,47.461,89.89
26,"US",2.196,9.101,108.604,125.797
27,"US",18.111,-4.845,2.445,1.797
28,"US",3.134,1.261,19.29,23.139
29,"Japan",1.977,0.475,135.442,15.58
30,"US",41.474,12.374,230.979,85.786
31,"US",15.702,6.218,5.61,144.601
32,"China",10.563,12.11,38.364,32.096
33,"US",20.586,12.359,183.819,16.315
34,"US",45.023,10.959,29.71,9.018
35,"Japan",23.692,-0.966,95.645,1.086
36,"China",4.397,5.283,125.754,17.94
37,"Japan",16.1,4.208,156.614,33.953
38,"US",11.502,0.446,49.964,0.156
39,"China",8.099,10.863,24.304,44.639
40,"US",34.13,5.097,7.392,62.99
41,"Japan",42.215,6.115,107.78,20.124
42,"China",10.188,-0.561,6.612,12.83
43,"China",4.816,3.87,7.759,37.652
44,"China",34.858,5.219,42.944,82.024
45,"US",56.963,6.136,131.631,1.462
46,"China",38.479,12.447,160.86,39.256
47,"US",14.437,6.001,105.408,20.552
48,"US",36.723,1.798,25.331,2.597
49,"China",14.248,10.531,291.998,72.382
50,"China",1.092,-9.619,7.892,11.377
51,"US",0.665,-0.81,147.82,7.276
52,"Japan",29.906,8.339,99.261,5.204
53,"US",19.582,14.364,24.215,176.636
54,"US",32.499,8.671,71.708,45.395
55,"US",28.882,0.108,26.975,31.212
56,"US",29.548,11.347,95.022,36.115
57,"US",4.533,-2.185,94.995,65.395
58,"US",53.323,8.305,65.707,14.966
59,"China",42.288,8.19,76.094,31.838
60,"US",6.948,8.238,211.785,85.733
61,"Japan",51.943,17.545,37.891,160.713
62,"US",19.065,11.821,33.61,8.994
63,"US",35.942,0.717,20.912,15.729
64,"US",12.537,5.051,200.216,24.091
65,"China",43.492,-1.214,58.476,59.525
66,"US",25.899,9.481,140.761,66.583
67,"US",30.309,7.509,37.022,5.21
68,"China",38.655,1.695,46.847,3.539
69,"US",13.654,8.504,114.072,40.231
70,"Japan",8.797,3.16,126.261,3.708
71,"US",15.24,8.506,13.537,22.147
72,"Japan",15.015,-0.438,260.188,10.876
73,"US",4.989,-0.843,193.657,32.868
74,"US",6.585,-0.609,17.613,76.655
75,"US",18.862,4.016,50.301,30.212
76,"Japan",26.318,-1.483,25.771,2.465
77,"Japan",10.843,5.946,301.979,14.789
78,"US",15.293,6.685,17.586,49.051
79,"China",10.486,11.399,13.824,1.084
80,"Japan",4.07,-4.414,34.282,0.36
81,"US",46.277,13.106,53.629,6.279
82,"China",22.959,3.525,4.45,27.144
83,"US",16.035,-2.855,65.615,12.356
84,"US",2.446,3.101,5.419,2.355
85,"China",24.607,-1.712,0.351,8.22
86,"US",7.047,1.115,137.304,57.881
87,"China",15.406,1.661,114.234,30.272
88,"US",16.245,20.546,227.122,212.731
89,"US",9.016,-0.907,55.636,25.568
90,"US",14.747,12.81,153.659,71.344
91,"US",1.14,-2.897,3.105,27.446
92,"US",1.512,6.699,19.448,68.8
93,"China",20.525,5.603,1.169,21.122
94,"Japan",13.497,-2.409,123.755,1.515
95,"China",16.011,3.184,70.13,31.356
96,"Japan",3.481,1.081,235.048,42.638
97,"US",13.469,7.689,1.475,16.406
98,"US",44.358,14.53,64.034,7.323
99,"Japan",8.111,-0.318,19.679,37.052
100,"China",7.953,6.3,108.083,11.667
101,"China",19.92,9.117,172.802,78.268
102,"US",3.075,-4.574,32.821,44.875
103,"US",27.48,1.154,50.176,1.041
104,"UK",20.545,5.655,35.314,4.233
105,"China",2.456,6.44,29.603,67.608
106,"US",21.685,-6.545,225.139,9.148
107,"US",3.218,3.079,106.109,0.131
