Plans,Customers
1256,91
1469,113
1252,86
1298,100
1585,116
1257,93
1278,94
1251,93
1286,96
1327,100
1507,111
1255,91
1240,88
1280,97
1241,88
1288,98
1246,93
1220,77
1333,101
1283,96
1402,108
1440,108
1510,114
1330,106
1370,107
1295,96
1467,113
1619,114
1286,92
1251,90
1304,102
1471,110
1661,121
1481,111
1526,114
1406,109
1253,89
1223,79
1220,81
1269,98
1601,115
1254,91
1288,98
1744,118
1256,94
1325,105
1260,90
1251,94
1246,92
1292,98
1556,114
1323,101
1434,109
1252,93
1300,98
1249,90
1361,107
1290,98
1330,98
1338,101
1238,88
1384,108
1263,93
1342,104
1244,91
1271,96
1221,78
1287,96
1233,86
1289,96
1277,97
1300,97
1324,102
1322,99
1329,103
1290,97
1346,109
1353,100
1317,101
1281,93
1337,104
1222,82
1415,109
1295,99
