"Toy","Sales","Marketing"
"A",855.844,174.081
"A",728.745,175.027
"B",887.742,180.757
"B",604.876,168.615
"B",703.407,162.877
"A",579.38,164.438
"B",691.069,176.991
"A",847.055,190.721
"B",626.784,165.14
"B",528.363,172.034
"A",599.074,167.616
"B",654.194,169.625
"A",1003.87,192.762
"A",725.096,172.25
"A",669.99,178.81
"A",601.228,180.615
"A",887.165,195.541
"B",656.649,162.837
"B",563.888,155.709
"A",697.61,174.342
"A",696.145,175.322
"B",730.071,184.193
"A",954.142,200.239
"A",1063.155,206.519
"A",581.393,172.487
"A",753.447,180.805
"A",589.578,168.624
"B",590.828,164.655
"B",588.045,167.536
"B",522.764,163.081
"B",556.287,160.36
"B",663.545,171.253
"A",762.547,186.774
"A",716.939,173.254
"A",636.542,172.338
"A",775.032,171.928
"B",389.373,155.726
"A",874.122,205.293
"A",787.607,183.192
"A",727.36,182.251
"B",468.191,173.061
"A",751.887,166.756
"B",752.067,186.187
"B",720.352,167.466
"A",566.041,167.764
"A",1046.341,209.587
"B",701.08,175.073
"A",823.452,189.641
"A",1205.571,201.939
"A",732.896,180.31
"B",517.35,167.397
"A",852.827,180.011
"A",904.249,195.774
"A",842.933,183.369
"B",585.926,168.077
"B",475.656,160.506
"B",745.076,180.611
"A",635.993,180.875
"B",372.77,160.274
"A",786.387,179.514
"B",646.627,174.181
"A",690.382,176.641
"A",746.695,175.047
"A",834.441,176.09
"A",658.91,176.85
"B",622.527,170.994
"A",687.022,183.139
"B",589.452,174.74
"B",648.488,176.039
"A",838.421,171.657
"A",713.773,179.101
"A",852.994,181.194
"B",599.731,171.334
"A",1102.007,197.006
"A",932.701,195.383
"A",442.935,159.669
"B",453.677,169.623
"A",872.41,188.497
"B",563.606,177.875
"A",786.013,171.803
"A",801.443,177.69
"B",874.69,190.425
"A",823.553,186.179
"B",615.803,162.883
"B",551.683,154.082
"A",572.577,185.856
"A",930.157,186.695
"B",705.891,178.715
"A",898.187,191.906
"B",767.609,174.139
"A",711.469,180.132
"B",725.573,173.889
"B",733.845,180.582
"A",1025.227,188.841
"B",577.433,174.376
"B",461.252,168.68
"B",624.799,167.752
"B",708.459,184.803
"B",504.286,170.559
"B",706.173,176.251
"B",435.866,168.275
"A",759.891,185.492
"A",818.089,182.833
"A",677.605,173.26
"B",625.95,173.498
"A",1057.862,196.411
"B",522.314,170.792
"B",619.927,150.429
"A",1010.681,202.386
"A",934.095,183.176
"B",464.203,162.472
"A",706.335,173.714
"A",950.543,199.148
"B",774.371,180.444
"B",501.47,179.995
"A",836.602,199.783
"B",691.302,166.517
"B",640.837,164.821
"B",734.628,169.409
"B",589.499,181.339
"B",593.514,170.396
"A",706.196,165.034
"A",741.74,173.047
"B",805.663,185.503
"B",432.969,164.468
"B",495.764,162.422
"A",958.293,190.021
"A",982.598,189.739
"B",719.505,193.902
"A",777.784,173.181
"A",897.779,188.826
"B",666.614,167.941
"A",941.898,190.615
"B",571.442,171.548
"A",729.623,189.17
"B",700.338,190.077
"A",717.553,170.193
"B",518.759,171.266
"A",699.491,166.704
"A",738.198,172.543
"B",452.283,163.772
"A",788.148,183.951
"A",819.114,186.145
"B",452.292,157.169
"B",410.211,160.174
"A",776.528,171.947
"A",896.842,189.043
"B",635.691,171.217
"B",626.357,171.571
"A",791.004,183.056
"A",695.433,178.619
"A",1071.85,198.724
"B",568.482,168.668
"B",589.993,181.158
"B",380.264,168.217
"B",481.248,163.637
"A",967.792,184.975
"B",655.718,168.319
"B",728.623,183.947
"B",592.962,165.837
"B",671.12,175.389
"A",840.361,178.092
"B",732.712,177.567
"B",623.542,165.42
"B",532.22,160.31
"B",550.537,159.399
"B",783.485,190.925
"B",692.321,178.526
"A",566.932,174.305
"B",600.148,179.915
"B",551.588,163.466
"A",626.657,164.992
"A",678.436,180.058
"B",472.266,163.548
"B",590.939,164.959
"A",767.607,190.796
"A",702.002,187.345
"A",587.528,165.819
"B",632.629,167.499
"B",400.542,154.37
"B",567.063,171.217
"B",699.863,180.362
"B",707.271,171.62
"A",945.525,189.061
"B",535.895,172.495
"B",425.261,161.078
"A",821.835,185.522
"B",561.864,171.781
"A",708.656,178.752
"A",819.455,179.762
"A",832.643,188.607
"B",596.301,171.01
"B",631.275,176.746
"A",786.754,183.467
"A",805.899,174.153
"B",372.487,156.227
"A",753.433,185.484
"B",724.241,170.527
"A",649.676,178.112
"B",673.99,178.067
"A",854.151,200.503
"A",809.854,184.381
"A",978.355,188.036
"B",653.948,170.229
"B",573.883,164.568
"A",793.58,184.054
"A",800.964,188.606
"B",472.746,161.241
"A",899.728,191.166
"B",639.559,161.901
"A",822.651,184.977
"A",618.646,180.207
"A",706.85,183.68
"A",853.966,183.974
"A",932.815,190.979
"B",655.661,164.515
"A",663.719,174.136
"B",739.928,185.398
"A",779.863,178.95
"B",680.174,182.815
"B",855.755,179.641
"A",532.648,165.855
"A",755.593,182.429
"B",603.315,172.038
"B",443.866,167.861
"A",838.779,177.571
"B",597.568,159.211
"A",783.921,185.573
"A",982.974,189.964
"B",724.764,165.058
"A",602.138,173.276
"B",735.967,177.383
"B",512.896,155.559
"B",789.403,187.574
"B",527.326,154.909
"A",959.483,185.222
"B",530.826,164.962
"B",594.135,169.515
"B",651.613,177.168
"B",589.677,180.142
