res1,res2,res3,res4,nl_r1_r2,nl_r2_r3,nl_r3_r4,nl_r1_r4,nl_r2_r4,nl_r1_r3
RES_R2,RES_R3,RES_R1,RES_R4,NL_R2-R3,NL_R1-R3,NL_R1-R4,NL_R2-R4,NL_R3-R4,NL_R1-R2
RES_R2,RES_R3,RES_R4,RES_R1,NL_R2-R3,NL_R3-R4,NL_R1-R4,NL_R1-R2,NL_R1-R3,NL_R2-R4
RES_R3,RES_R2,RES_R1,RES_R4,NL_R2-R3,NL_R1-R2,NL_R1-R4,NL_R3-R4,NL_R2-R4,NL_R1-R3
RES_R3,RES_R2,RES_R4,RES_R1,NL_R2-R3,NL_R2-R4,NL_R1-R4,NL_R1-R3,NL_R1-R2,NL_R3-R4

RES_R1,RES_R3,RES_R2,RES_R4,NL_R1-R3,NL_R2-R3,NL_R2-R4,NL_R1-R4,NL_R3-R4,NL_R1-R2
RES_R1,RES_R3,RES_R4,RES_R2,NL_R1-R3,NL_R3-R4,NL_R2-R4,NL_R1-R2,NL_R2-R3,NL_R1-R4
RES_R3,RES_R1,RES_R4,RES_R2,NL_R1-R3,NL_R1-R4,NL_R2-R4,NL_R2-R3,NL_R1-R2,NL_R3-R4
RES_R3,RES_R1,RES_R2,RES_R4,NL_R1-R3,NL_R1-R2,NL_R2-R4,NL_R3-R4,NL_R1-R4,NL_R2-R3

RES_R1,RES_R4,RES_R3,RES_R2,NL_R1-R4,NL_R3-R4,NL_R2-R3,NL_R1-R2,NL_R2-R4,NL_R1-R3
RES_R1,RES_R4,RES_R2,RES_R3,NL_R1-R4,NL_R2-R4,NL_R2-R3,NL_R1-R3,NL_R3-R4,NL_R1-R2
RES_R4,RES_R1,RES_R3,RES_R2,NL_R1-R4,NL_R1-R3,NL_R2-R3,NL_R2-R4,NL_R1-R2,NL_R3-R4
RES_R4,RES_R1,RES_R2,RES_R3,NL_R1-R4,NL_R1-R2,NL_R2-R3,NL_R3-R4,NL_R1-R3,NL_R2-R4

RES_R3,RES_R4,RES_R1,RES_R2,NL_R3-R4,NL_R1-R4,NL_R1-R2,NL_R2-R3,NL_R2-R4,NL_R1-R3
RES_R3,RES_R4,RES_R2,RES_R1,NL_R3-R4,NL_R2-R4,NL_R1-R2,NL_R1-R3,NL_R1-R4,NL_R2-R3
RES_R4,RES_R3,RES_R2,RES_R1,NL_R3-R4,NL_R2-R3,NL_R1-R2,NL_R1-R4,NL_R1-R3,NL_R2-R4
RES_R4,RES_R3,RES_R1,RES_R2,NL_R3-R4,NL_R1-R3,NL_R1-R2,NL_R2-R4,NL_R2-R3,NL_R1-R4

RES_R1,RES_R2,RES_R3,RES_R4,NL_R1-R2,NL_R2-R3,NL_R3-R4,NL_R1-R4,NL_R2-R4,NL_R1-R3
RES_R1,RES_R2,RES_R4,RES_R3,NL_R1-R2,NL_R2-R4,NL_R3-R4,NL_R1-R3,NL_R2-R3,NL_R1-R4
RES_R2,RES_R1,RES_R3,RES_R4,NL_R1-R2,NL_R1-R3,NL_R3-R4,NL_R2-R4,NL_R1-R4,NL_R2-R3
RES_R2,RES_R1,RES_R4,RES_R3,NL_R1-R2,NL_R1-R4,NL_R3-R4,NL_R2-R3,NL_R1-R3,NL_R2-R4

RES_R2,RES_R4,RES_R1,RES_R3,NL_R2-R4,NL_R1-R4,NL_R1-R3,NL_R2-R3,NL_R3-R4,NL_R1-R2
RES_R2,RES_R4,RES_R3,RES_R1,NL_R2-R4,NL_R3-R4,NL_R1-R3,NL_R1-R2,NL_R1-R4,NL_R2-R3
RES_R4,RES_R2,RES_R3,RES_R1,NL_R2-R4,NL_R2-R3,NL_R1-R3,NL_R1-R4,NL_R1-R2,NL_R3-R4
RES_R4,RES_R2,RES_R1,RES_R3,NL_R2-R4,NL_R1-R2,NL_R1-R3,NL_R3-R4,NL_R2-R3,NL_R1-R4
