"id","owner_id","vocabulary_id","local_name","label","comment"
"1","","1","title","Title","A name given to the resource."
"2","","1","creator","Creator","An entity primarily responsible for making the resource."
"3","","1","subject","Subject","The topic of the resource."
"4","","1","description","Description","An account of the resource."
"5","","1","publisher","Publisher","An entity responsible for making the resource available."
"6","","1","contributor","Contributor","An entity responsible for making contributions to the resource."
"7","","1","date","Date","A point or period of time associated with an event in the lifecycle of the resource."
"8","","1","type","Type","The nature or genre of the resource."
"9","","1","format","Format","The file format, physical medium, or dimensions of the resource."
"10","","1","identifier","Identifier","An unambiguous reference to the resource within a given context."
"11","","1","source","Source","A related resource from which the described resource is derived."
"12","","1","language","Language","A language of the resource."
"13","","1","relation","Relation","A related resource."
"14","","1","coverage","Coverage","The spatial or temporal topic of the resource, the spatial applicability of the resource, or the jurisdiction under which the resource is relevant."
"15","","1","rights","Rights","Information about rights held in and over the resource."
"16","","1","audience","Audience","A class of entity for whom the resource is intended or useful."
"17","","1","alternative","Alternative Title","An alternative name for the resource."
"18","","1","tableOfContents","Table Of Contents","A list of subunits of the resource."
"19","","1","abstract","Abstract","A summary of the resource."
"20","","1","created","Date Created","Date of creation of the resource."
"21","","1","valid","Date Valid","Date (often a range) of validity of a resource."
"22","","1","available","Date Available","Date (often a range) that the resource became or will become available."
"23","","1","issued","Date Issued","Date of formal issuance (e.g., publication) of the resource."
"24","","1","modified","Date Modified","Date on which the resource was changed."
"25","","1","extent","Extent","The size or duration of the resource."
"26","","1","medium","Medium","The material or physical carrier of the resource."
"27","","1","isVersionOf","Is Version Of","A related resource of which the described resource is a version, edition, or adaptation."
"28","","1","hasVersion","Has Version","A related resource that is a version, edition, or adaptation of the described resource."
"29","","1","isReplacedBy","Is Replaced By","A related resource that supplants, displaces, or supersedes the described resource."
"30","","1","replaces","Replaces","A related resource that is supplanted, displaced, or superseded by the described resource."
"31","","1","isRequiredBy","Is Required By","A related resource that requires the described resource to support its function, delivery, or coherence."
"32","","1","requires","Requires","A related resource that is required by the described resource to support its function, delivery, or coherence."
"33","","1","isPartOf","Is Part Of","A related resource in which the described resource is physically or logically included."
"34","","1","hasPart","Has Part","A related resource that is included either physically or logically in the described resource."
"35","","1","isReferencedBy","Is Referenced By","A related resource that references, cites, or otherwise points to the described resource."
"36","","1","references","References","A related resource that is referenced, cited, or otherwise pointed to by the described resource."
"37","","1","isFormatOf","Is Format Of","A related resource that is substantially the same as the described resource, but in another format."
"38","","1","hasFormat","Has Format","A related resource that is substantially the same as the pre-existing described resource, but in another format."
"39","","1","conformsTo","Conforms To","An established standard to which the described resource conforms."
"40","","1","spatial","Spatial Coverage","Spatial characteristics of the resource."
"41","","1","temporal","Temporal Coverage","Temporal characteristics of the resource."
"42","","1","mediator","Mediator","An entity that mediates access to the resource and for whom the resource is intended or useful."
"43","","1","dateAccepted","Date Accepted","Date of acceptance of the resource."
"44","","1","dateCopyrighted","Date Copyrighted","Date of copyright."
"45","","1","dateSubmitted","Date Submitted","Date of submission of the resource."
"46","","1","educationLevel","Audience Education Level","A class of entity, defined in terms of progression through an educational or training context, for which the described resource is intended."
"47","","1","accessRights","Access Rights","Information about who can access the resource or an indication of its security status."
"48","","1","bibliographicCitation","Bibliographic Citation","A bibliographic reference for the resource."
"49","","1","license","License","A legal document giving official permission to do something with the resource."
"50","","1","rightsHolder","Rights Holder","A person or organization owning or managing rights over the resource."
