Spectrum #,Particle #,x,y,Cluster_ID,Fe_at%,Mg_at%,Ca_at%,Al_at%,Si_at%,O_at%,An er w%,Fe_w%,Mg_w%,Ca_w%,Al_w%,Si_w%,O_w%,r_squared,redchi_sq,Quant_flag,Comments
0,1,0.288,0.145,0,3.09,10.37,6.1,4.29,17.03,59.11,-3.81,7.51,10.97,10.65,5.05,20.83,41.18,0.998822,42.6,0,6.5 min. ref. bckgrnd counts
1,2,0.321,0.154,0,3.16,9.4,5.94,3.96,16.33,61.21,-4.91,7.68,9.93,10.34,4.65,19.93,42.57,0.998795,37.0,0,6.7 min. ref. bckgrnd counts
2,4,0.042,0.037,,3.16,9.25,5.94,3.74,17.36,60.56,-5.3,7.6,9.69,10.26,4.35,21.02,41.78,0.998747,48.0,8,"4.4 min. ref. bckgrnd counts, too low"
3,4,0.091,0.085,,1.9,6.34,3.9,2.78,23.24,61.84,-18.66,4.04,5.87,5.96,2.86,24.88,37.72,0.998812,43.7,0,6.1 min. ref. bckgrnd counts
4,4,0.069,0.089,,3.07,8.57,5.43,3.85,18.11,60.97,11.86,8.78,10.66,11.14,5.32,26.03,49.93,0.997847,70.3,8,"4.8 min. ref. bckgrnd counts, too low"
5,4,0.021,0.011,,3.37,9.66,6.03,3.89,17.08,59.97,2.59,8.74,10.91,11.22,4.88,22.29,44.57,0.998975,38.4,8,"4.9 min. ref. bckgrnd counts, too low"
6,4,0.085,0.054,,2.36,7.3,4.31,3.08,21.74,61.22,-15.51,5.17,6.96,6.77,3.25,23.93,38.4,0.998653,42.7,0,7.1 min. ref. bckgrnd counts
7,5,0.0,0.028,0,3.25,10.55,6.51,4.43,16.93,58.33,-3.09,7.89,11.16,11.36,5.2,20.69,40.61,0.998846,42.8,0,5.7 min. ref. bckgrnd counts
8,5,0.026,-0.008,0,3.12,10.4,5.94,4.22,16.48,59.85,-2.0,7.76,11.26,10.61,5.07,20.63,42.67,0.998812,42.8,0,5.8 min. ref. bckgrnd counts
9,9,-0.143,0.287,,1.81,8.18,2.92,3.62,18.69,64.78,-14.17,4.17,8.22,4.84,4.04,21.7,42.85,0.996799,92.0,0,9.5 min. ref. bckgrnd counts
10,9,-0.078,0.233,,2.13,6.59,4.1,3.05,19.44,64.69,-31.82,3.84,5.18,5.32,2.67,17.67,33.5,0.992349,231.9,4,poor fit
11,10,-0.109,-0.099,,3.27,7.15,5.02,3.27,21.98,59.31,-32.87,5.55,5.27,6.11,2.68,18.73,28.79,0.998582,41.0,7,C 8985 counts > 10 % of total counts
12,12,-0.182,0.056,,3.71,8.81,5.64,3.64,19.72,58.48,-20.67,7.35,7.6,8.02,3.48,19.66,33.22,0.998298,44.4,7,C 5266 counts > 10 % of total counts
