case:concept:name,concept:name,time:timestamp,human_resource,org:role,lifecycle:transition,concept:instance
1-544976636,Accepted,2011-08-03 11:29:56,Evy,D2,start,i_1
1-544976636,Accepted,2011-08-03 11:29:56,Evy,D2,complete,i_1
1-544976636,Accepted,2011-08-03 11:31:12,Evy,D2,start,i_2
1-544976636,Accepted,2011-08-03 11:31:12,Evy,D2,complete,i_2
1-544976636,Queued,2011-08-03 11:41:04,Evy,V37 2nd,start,i_3
1-544976636,Queued,2011-08-03 11:41:04,Evy,V37 2nd,complete,i_3
1-544976636,Accepted,2011-08-04 10:55:05,Tsun Fai,V37 2nd,start,i_4
1-544976636,Accepted,2011-08-04 10:55:05,Tsun Fai,V37 2nd,complete,i_4
1-544976636,Queued,2011-08-04 12:56:55,Tsun Fai,V32 2nd,start,i_5
1-544976636,Queued,2011-08-04 12:56:55,Tsun Fai,V32 2nd,complete,i_5
1-544976636,Accepted,2011-08-04 15:04:01,Tsun Fai,V32 2nd,start,i_6
1-544976636,Accepted,2011-08-04 15:04:01,Tsun Fai,V32 2nd,complete,i_6
1-544976636,Queued,2011-08-04 15:14:33,Tsun Fai,D2,start,i_7
1-544976636,Queued,2011-08-04 15:14:33,Tsun Fai,D2,complete,i_7
1-544976636,Accepted,2011-08-04 15:20:52,Evy,D2,start,i_8
1-544976636,Accepted,2011-08-04 15:20:52,Evy,D2,complete,i_8
1-544976636,Queued,2011-08-04 15:26:53,Evy,V32 2nd,start,i_9
1-544976636,Queued,2011-08-04 15:26:53,Evy,V32 2nd,complete,i_9
1-544976636,Accepted,2011-08-16 15:43:23,Earl,V32 2nd,start,i_10
1-544976636,Accepted,2011-08-16 15:43:23,Earl,V32 2nd,complete,i_10
1-544976636,Accepted,2012-03-14 15:44:27,Earl,V32 2nd,start,i_11
1-544976636,Accepted,2012-03-14 15:44:27,Earl,V32 2nd,complete,i_11
1-544976636,Accepted,2012-05-04 07:37:15,Juan,V37 2nd,start,i_12
1-544976636,Accepted,2012-05-04 07:37:15,Juan,V37 2nd,complete,i_12
1-544976636,Completed,2012-05-04 07:38:06,Juan,V37 2nd,start,i_13
1-544976636,Completed,2012-05-04 07:38:06,Juan,V37 2nd,complete,i_13
1-544976636,Completed,2012-05-11 23:21:27,Siebel,V37 2nd,start,i_14
1-544976636,Completed,2012-05-11 23:21:27,Siebel,V37 2nd,complete,i_14
1-635268712,Accepted,2012-01-05 10:37:41,Adam,D8,start,i_15
1-635268712,Accepted,2012-01-05 10:37:41,Adam,D8,complete,i_15
1-635268712,Accepted,2012-01-05 10:39:53,Adam,D8,start,i_16
1-635268712,Accepted,2012-01-05 10:39:53,Adam,D8,complete,i_16
1-635268712,Queued,2012-01-05 10:47:14,Adam,V37 2nd,start,i_17
1-635268712,Queued,2012-01-05 10:47:14,Adam,V37 2nd,complete,i_17
1-635268712,Accepted,2012-01-09 13:22:56,Tsun Fai,V37 2nd,start,i_18
1-635268712,Accepted,2012-01-09 13:22:56,Tsun Fai,V37 2nd,complete,i_18
1-635268712,Queued,2012-01-09 13:25:36,Tsun Fai,D8,start,i_19
1-635268712,Queued,2012-01-09 13:25:36,Tsun Fai,D8,complete,i_19
1-635268712,Accepted,2012-01-09 13:31:50,Tsun Fai,V37 2nd,start,i_20
1-635268712,Accepted,2012-01-09 13:31:50,Tsun Fai,V37 2nd,complete,i_20
1-635268712,Queued,2012-01-09 13:32:02,Tsun Fai,V37 2nd,start,i_21
1-635268712,Queued,2012-01-09 13:32:02,Tsun Fai,V37 2nd,complete,i_21
1-635268712,Accepted,2012-01-09 13:32:05,Tsun Fai,V37 2nd,start,i_22
1-635268712,Accepted,2012-01-09 13:32:05,Tsun Fai,V37 2nd,complete,i_22
1-635268712,Queued,2012-01-09 13:32:14,Tsun Fai,D8,start,i_23
1-635268712,Queued,2012-01-09 13:32:14,Tsun Fai,D8,complete,i_23
1-635268712,Accepted,2012-01-09 14:49:08,Pawel,D8,start,i_24
1-635268712,Accepted,2012-01-09 14:49:08,Pawel,D8,complete,i_24
1-635268712,Accepted,2012-01-09 14:49:18,Pawel,D8,start,i_25
1-635268712,Accepted,2012-01-09 14:49:18,Pawel,D8,complete,i_25
1-635268712,Accepted,2012-01-10 06:28:03,Adam,D8,start,i_26
1-635268712,Accepted,2012-01-10 06:28:03,Adam,D8,complete,i_26
1-635268712,Queued,2012-01-10 06:33:55,Adam,V32 2nd,start,i_27
1-635268712,Queued,2012-01-10 06:33:55,Adam,V32 2nd,complete,i_27
1-635268712,Accepted,2012-03-21 09:27:48,Earl,V32 2nd,start,i_28
1-635268712,Accepted,2012-03-21 09:27:48,Earl,V32 2nd,complete,i_28
1-635268712,Queued,2012-03-21 09:50:55,Earl,V37 2nd,start,i_29
1-635268712,Queued,2012-03-21 09:50:55,Earl,V37 2nd,complete,i_29
1-635268712,Accepted,2012-03-21 12:45:14,Juan,V37 2nd,start,i_30
