dimension,granularity,indicator_name,result,status
cost,activities,fixed_cost,492.0,Success
cost,activities,human_resource_count,3,Success
cost,activities,inventory_cost,246.0,Success
cost,activities,labor_cost,242.0,Success
cost,activities,labor_cost_and_total_cost_ratio,0.247,Success
cost,activities,resource_count,2,Success
cost,activities,rework_cost,869.0,Success
cost,activities,rework_count,100,Success
cost,activities,rework_percentage,0.84,Success
cost,activities,total_cost,980.0,Success
cost,activities,total_cost_and_lead_time_ratio,5436.055,Success
cost,activities,total_cost_and_outcome_unit_ratio,0.344,Success
cost,activities,total_cost_and_service_time_ratio,,Division error: cannot divide 980.0 by 0.0.
cost,activities,variable_cost,488.0,Success
cost,cases,automated_activity_cost,74.0,Success
cost,cases,desired_activity_count,2,Success
cost,cases,direct_cost,114.0,Success
cost,cases,fixed_cost,54.0,Success
cost,cases,human_resource_count,3,Success
cost,cases,inventory_cost,33.0,Success
cost,cases,labor_cost,49.0,Success
cost,cases,labor_cost_and_total_cost_ratio,0.36,Success
cost,cases,maintenance_cost,32.0,Success
cost,cases,missed_deadline_cost,0.0,Success
cost,cases,overhead_cost,22.0,Success
cost,cases,resource_count,2,Success
cost,cases,rework_cost,104.0,Success
cost,cases,rework_count,15,Success
cost,cases,rework_percentage,0.789,Success
cost,cases,total_cost,136.0,Success
cost,cases,total_cost_and_lead_time_ratio,4753.398,Success
cost,cases,total_cost_and_outcome_unit_ratio,0.307,Success
cost,cases,total_cost_and_service_time_ratio,,Division error: cannot divide 136.0 by 0.0.
cost,cases,transportation_cost,48.0,Success
cost,cases,variable_cost,82.0,Success
cost,cases,warehousing_cost,55.0,Success
cost,groups,automated_activity_cost,225.0,Success
cost,groups,desired_activity_count,6,Success
cost,groups,direct_cost,333.0,Success
cost,groups,expected_automated_activity_cost,75.0,Success
cost,groups,expected_desired_activity_count,2.0,Success
cost,groups,expected_direct_cost,111.0,Success
cost,groups,expected_fixed_cost,63.333,Success
cost,groups,expected_human_resource_count,3.0,Success
cost,groups,expected_inventory_cost,39.0,Success
cost,groups,expected_labor_cost,30.333,Success
cost,groups,expected_labor_cost_and_total_cost_ratio,0.229,Success
cost,groups,expected_maintenance_cost,29.333,Success
cost,groups,expected_missed_deadline_cost,33.0,Success
cost,groups,expected_overhead_cost,21.667,Success
cost,groups,expected_resource_count,2.0,Success
cost,groups,expected_rework_cost,88.0,Success
cost,groups,expected_rework_count,11.0,Success
