Likes,Promoter,Age,Sentiment
240372,A,437,0.11539892
100243,A,234,0.005290118
19015,A,4,0.02284994
188370,A,364,-0.003857647
173882,A,358,-0.016700042
26730,A,94,-0.001736301
164730,A,323,0.03938198
127915,A,271,0.10376225
65776,A,168,0.051369622
163880,A,319,0.06039542
237096,A,415,-0.061566171
143315,A,354,0.049194779
49369,A,174,0.01099624
12325,A,64,-0.073362501
68396,A,194,0.026051137
248218,A,464,-0.00793773
204690,A,402,0.073229366
172050,A,379,-0.0383041
287935,A,479,-0.021510588
285216,A,497,-0.046305475
162101,A,303,-0.008855198
29891,A,15,0.020100589
64832,A,168,-0.036587409
36859,A,139,0.041518658
38790,A,59,-0.060404139
23810,A,22,-0.052399221
57243,A,185,0.072057885
60930,A,168,-0.050792373
27143,A,87,0.020598736
131121,A,311,-0.019053803
72660,A,199,0.020470092
269376,A,478,0.084443664
140878,A,327,0.079329422
58443,A,164,-0.01654539
26067,A,99,-0.114261777
24088,A,58,0.124883079
333441,A,498,0.033353308
62150,A,190,0.027066367
116234,A,281,-0.000669976
175920,A,366,0.025505421
250097,A,435,-0.008218792
112789,A,286,0.021034732
28236,A,6,-0.020012337
239610,A,453,-0.068510394
178452,A,385,0.049391913
61402,A,191,0.075987251
27589,A,47,-0.015437028
30282,A,25,-0.062664488
180006,A,411,0.032112065
227687,A,415,-0.002235457
120782,A,327,-0.08666092
24428,A,66,0.000106593
54452,A,171,-0.031515017
154220,A,366,-0.017048429
260439,A,454,-0.057828618
138211,A,348,0.090157095
46798,A,121,-0.016556602
107018,A,322,-0.080275671
46357,A,140,0.009859672
250924,A,479,0.013158782
42868,A,79,-0.049291335
98446,A,209,-0.144446034
46299,A,126,-0.032024085
24666,A,47,0.028525382
176308,A,414,-0.002986164
108865,A,263,-0.004908937
137272,A,334,0.028041036
76209,A,204,-0.059322932
202137,A,421,0.054838852
161307,A,369,-0.000267201
51881,A,174,0.035365533
294995,A,474,0.051705387
133782,A,323,0.011174021
18720,A,18,-0.043935381
147095,A,298,0.058148228
79097,A,208,-0.100008247
22655,A,38,-0.027239537
117352,A,264,-0.012783535
304465,A,481,-0.008306052
148877,A,354,0.051023195
141497,A,277,0.006811095
38272,A,121,0.02035838
171749,A,389,-0.003482741
130971,A,326,-0.012383217
223775,A,415,0.03477754
20463,B,450,-1.720650662
12148,B,246,0.10632062
16888,B,392,-0.608668497
20488,B,402,-0.301196983
16436,B,339,0.976202525
17388,B,291,0.456008669
9800,B,165,1.294408067
6143,B,1,-1.133202206
7962,B,33,-0.869460351
9008,B,43,-0.754970292
8170,B,7,-0.12963535
9570,B,168,-1.001801335
5782,B,60,-0.819868279
12070,B,297,-0.974552469
6495,B,19,0.604309409
9258,B,5,0.548787588
9818,B,81,0.916432657
21236,B,416,2.661566367
16110,B,383,-0.180257065
11737,B,136,0.685014766
8311,B,94,3.266414519
6476,B,113,0.56060046
9612,B,31,-0.069017297
7699,B,30,-0.972442936
7390,B,74,-0.546586586
7257,B,36,-1.688692328
10875,B,21,-1.572372699
15729,B,261,-0.404987158
19275,B,395,0.319286418
14833,B,347,0.040427682
6134,B,33,-0.390009563
9098,B,9,-1.81922223
13763,B,221,0.65918071
10783,B,79,0.459621673
16457,B,359,1.616626337
16009,B,352,-1.856190495
17686,B,443,-0.286823883
11188,B,163,1.750321889
21521,B,485,0.116413613
21902,B,492,1.384253158
8288,B,20,0.574220913
17243,B,447,0.136490812
16754,B,411,0.914215989
17475,B,362,-1.800826318
10047,B,144,-0.339880639
12336,B,251,0.606264572
10997,B,214,1.341130311
16723,B,305,0.767287288
20358,B,463,0.193725667
10100,B,120,1.140566691
10139,B,136,0.013864804
14248,B,368,-1.10530591
16355,B,376,-0.025162639
22992,B,465,-0.163673338
12699,B,231,0.370059748
15874,B,430,-0.380824536
10329,B,156,0.652952369
10509,B,104,2.061341806
20026,B,460,-1.796644937
10284,B,26,0.584077124
10839,B,206,-0.722753124
9605,B,228,-0.629164665
12689,B,208,-1.816206055
15470,B,335,-0.259289098
17655,B,378,0.334632273
22067,B,456,-1.427167613
18291,B,410,1.938628233
5580,B,47,-0.759530213
9455,B,89,-2.278776142
11181,B,321,-0.114050766
18034,B,437,2.351856666
15540,B,296,1.596320803
