Salary,Jobs,Education
113,10,Bachelors
118,6,Masters
97,10,HS
89,10,HS
75,8,Bachelors
80,4,Bachelors
86,5,Bachelors
84,6,HS
86,7,Bachelors
180,12,Masters
67,9,HS
64,5,HS
62,5,Bachelors
93,6,Bachelors
79,6,HS
66,6,HS
100,8,Bachelors
65,5,Bachelors
93,8,Bachelors
86,5,Bachelors
73,7,HS
130,8,Masters
74,7,HS
104,9,Bachelors
78,7,Bachelors
123,8,Masters
81,9,Bachelors
113,6,Masters
65,4,Bachelors
118,7,Masters
72,7,Bachelors
116,6,Masters
63,6,Bachelors
85,6,Bachelors
106,8,Bachelors
126,9,Masters
133,9,Masters
84,6,Bachelors
87,9,Bachelors
96,6,Bachelors
98,11,Bachelors
104,8,Bachelors
77,6,Bachelors
82,5,Bachelors
79,5,Bachelors
105,5,Masters
68,4,Masters
88,9,Bachelors
91,9,Bachelors
95,7,Bachelors
88,8,Bachelors
99,6,Bachelors
103,12,HS
94,5,Masters
104,7,Bachelors
93,8,Bachelors
132,8,Masters
122,7,Masters
50,3,Bachelors
66,4,Bachelors
92,8,Bachelors
81,7,Bachelors
103,5,Masters
75,7,Bachelors
91,5,Masters
92,7,Bachelors
57,4,Bachelors
123,8,Masters
84,7,Bachelors
88,7,Bachelors
82,7,Bachelors
77,8,Bachelors
108,6,Masters
98,7,Bachelors
64,8,Bachelors
147,9,Masters
96,7,Bachelors
89,7,Bachelors
75,5,Bachelors
82,4,Bachelors
76,5,Bachelors
67,10,HS
148,9,Masters
98,7,Bachelors
117,6,Masters
86,6,Bachelors
102,9,Bachelors
73,6,HS
109,10,Bachelors
93,8,HS
103,10,Bachelors
75,5,Bachelors
79,7,HS
83,5,Bachelors
81,8,Bachelors
81,7,Bachelors
57,6,Bachelors
94,10,HS
84,7,Bachelors
92,9,Bachelors
