Ads,Sales
83.183,16
127.687,37
74.89,14
101.403,21
134.229,48
87.942,16
90.557,18
87.293,15
94.285,19
102.762,20
124.553,42
83.964,15
78.392,15
96.849,19
78.565,14
97.22,22
88.054,17
56.321,12
104.816,24
94.813,20
118.01,36
118.837,34
129.359,39
114.135,26
116.38,29
94.13,17
128.372,42
129.975,40
86.858,17
82.944,15
106.318,19
122.194,32
144.309,73
124.342,31
129.584,41
119.031,30
79.809,15
59.991,12
64.756,12
97.148,20
131.001,41
83.952,15
98.508,23
137.913,52
90.869,15
111.244,28
82.26,14
90.795,16
85.513,16
98.616,19
129.265,55
103.755,21
120.44,33
88.163,16
97.756,17
81.501,15
115.066,34
97.748,20
98.718,18
104.666,23
77.268,14
117.097,32
88.433,15
109.927,26
84.799,16
93.172,17
57.953,11
93.966,18
74.552,14
94.407,20
95.918,19
95.488,20
106.941,27
100.647,22
108.271,25
96.893,18
119.47,27
102.422,21
103.783,23
88.742,17
109.968,26
65.154,13
119.511,31
99.518,23
113.514,27
85.794,16
147.745,72
90.531,17
98.485,19
89.563,16
118.521,31
78.752,13
111.141,27
118.015,27
119.799,34
107.672,23
93.068,16
89.196,17
96.349,17
98.814,23
60.092,12
122.706,39
113.516,24
104.17,23
98.843,18
117.876,35
95.423,18
60.687,11
84.93,15
125.603,37
80.942,16
132.448,47
152.003,94
102.793,22
72.986,14
115.979,29
68.9,13
109.274,23
101.049,21
95.959,16
123.417,34
117.697,28
73.642,13
67.135,13
121.185,35
105.802,21
91.999,17
124.862,34
72.672,13
71.172,14
126.971,39
60.429,12
75.181,14
97.919,19
114.659,23
109.114,24
105.762,23
78.526,15
112.975,27
105.983,20
84.08,15
99.413,23
143.605,77
119.148,30
93.899,19
91.632,18
101.999,19
95.404,20
71.696,13
92.148,18
118.922,33
115.035,30
89.652,16
116.167,27
87.709,17
124.765,35
93.238,17
123.927,53
91.134,17
103.722,25
47.573,11
144.925,75
101.869,21
132.546,39
89.782,17
86.812,18
99.196,21
97.626,20
99.607,20
90.286,16
71.197,13
102.875,20
75.308,14
64.95,13
99.29,23
106.641,21
131.446,47
78.611,14
118.326,34
88.1,17
143.633,67
86.325,15
115.001,27
119.488,36
74.711,14
94.452,16
96.212,19
92.32,18
114.812,36
76.633,14
113.351,27
107.325,24
89.701,16
109.011,21
96.246,19
126.781,40
116.324,28
101.644,18
86.983,16
114.528,29
97.726,20
94.098,20
119.783,36
84.497,15
105.518,21
108.216,25
112.224,28
118.731,29
92.649,15
114.808,25
124.371,34
112.583,24
110.555,26
90.555,16
116.474,28
91.444,16
97.147,18
128.376,46
109.743,23
112.069,26
104.217,22
99.334,20
140.504,63
92.584,18
68.435,13
97.569,19
64.066,13
90.488,17
82.318,15
30.039,11
92.36,18
119.554,31
88.839,16
87.471,16
89.391,16
137.952,66
127.911,45
85.079,17
93.889,16
123.394,36
106.088,22
97.65,20
98.798,21
129.419,43
70.437,13
86.328,15
109.211,29
96.37,18
76.824,13
108.18,22
94.836,18
94.662,18
103.283,24
92.131,18
63.125,12
69.154,13
88.275,16
82.957,16
115.566,30
99.394,22
70.887,15
101.876,19
119.647,35
88.066,15
101.496,23
143.949,66
115.9,28
89.221,17
67.974,13
85.373,18
92.885,18
80.292,15
85.377,16
129.306,43
137.172,45
100.07,18
73.124,14
103.026,22
105.8,25
97.55,19
102.503,23
84.551,17
79.741,15
119.338,25
91.533,20
83.368,15
127.999,39
100.34,18
136.95,52
86.273,16
95.626,18
113.652,24
110.483,26
101.611,22
101.076,24
85.255,16
119.329,28
119.686,30
103.746,21
105.46,24
124.203,40
103.773,20
139.25,55
102.774,23
68.427,12
84.06,16
124.487,40
92.693,17
96.748,20
111.21,29
82.785,16
124.773,27
115.349,28
78.252,16
101.35,18
132.103,43
124.645,38
92.418,17
73.003,13
107.298,23
92.728,21
127.493,30
105.838,26
114.212,36
81.245,14
77.719,14
112.687,28
95.376,16
72.636,13
84.902,15
77.488,14
95.613,22
97.314,21
83.64,17
109.447,30
82.615,15
73.354,14
101.411,23
109.282,23
105.783,23
42.301,11
53.306,11
65.382,13
116.5,32
79.099,14
82.456,15
91.992,18
74.636,13
102.772,20
123.671,40
57.789,12
105.214,23
118.911,31
87.601,17
99.818,20
110.405,23
136.125,52
61.75,12
103.986,22
105.53,20
83.274,15
140.592,54
108.582,26
121.279,39
87.884,15
