Salary,Churn
92.1,0
63.5,1
93.1,0
73.4,0
66.6,1
94.6,0
93.4,0
68.7,0
62.7,1
103.0,0
51.2,1
77.9,0
96.5,0
64.0,1
92.8,0
94.1,0
115.7,0
56.9,1
89.1,0
96.9,0
112.8,0
113.6,0
86.1,0
91.2,0
63.6,1
105.7,0
119.3,0
79.7,0
66.5,1
90.2,0
108.3,0
90.2,0
101.0,0
75.8,0
48.3,1
90.2,0
97.0,0
63.3,1
79.6,0
61.7,1
93.9,0
65.4,1
112.2,0
76.8,1
57.5,1
63.6,1
45.3,1
51.8,1
97.5,0
54.8,1
63.5,1
76.5,0
69.9,1
97.1,0
77.8,0
61.3,1
72.4,0
54.0,1
79.2,0
63.7,1
115.6,0
84.4,0
89.6,0
111.1,0
63.7,1
57.8,1
103.1,0
59.1,1
82.8,0
94.3,0
91.0,0
90.6,0
85.8,0
86.8,0
89.1,0
87.6,0
84.8,0
62.9,1
103.9,0
106.3,0
73.3,1
63.8,1
108.6,0
75.6,0
89.3,0
65.0,1
76.4,1
97.5,0
88.7,0
85.9,0
93.8,0
107.8,0
92.1,0
89.7,0
99.8,0
90.8,0
64.2,1
63.6,1
100.5,0
53.4,1
83.3,0
100.0,0
54.2,1
89.3,0
90.1,0
61.3,1
87.3,0
81.7,0
90.1,0
70.1,0
70.9,0
98.6,0
90.2,0
56.4,1
106.2,0
86.1,0
83.2,0
82.5,0
67.6,1
57.9,1
80.4,1
76.3,0
89.3,0
73.2,0
82.1,0
81.4,0
97.6,0
79.1,0
69.0,1
89.9,0
57.4,1
67.5,1
107.3,0
85.0,0
71.4,1
61.4,1
77.6,0
56.2,1
54.0,1
84.6,0
62.2,1
79.5,0
109.0,0
65.6,1
83.9,0
84.6,0
56.0,1
80.6,0
84.4,0
99.0,0
49.3,1
67.6,0
58.6,0
53.8,1
105.7,0
91.4,0
48.4,1
80.3,0
96.5,0
61.6,1
67.1,1
89.2,0
99.3,0
56.9,1
100.5,0
107.7,0
56.4,1
50.1,1
103.5,0
67.0,1
57.7,1
73.5,0
112.5,0
67.7,1
67.5,1
76.2,0
93.1,0
76.5,1
71.8,0
92.6,0
94.3,0
77.9,0
96.4,0
85.4,0
103.6,0
71.5,1
92.4,0
62.4,0
79.7,0
75.2,0
115.5,0
93.1,0
95.7,0
85.1,0
67.1,1
83.2,0
71.8,0
65.2,0
73.0,0
92.5,0
106.4,0
63.9,1
83.1,0
74.5,0
74.2,0
78.3,0
81.6,0
63.6,1
108.8,0
91.4,0
83.5,0
68.0,1
88.3,0
87.2,0
84.2,0
91.2,0
95.7,0
81.0,0
91.1,0
82.2,0
93.9,0
85.3,0
57.6,0
78.1,1
71.4,0
92.4,0
83.1,0
100.8,0
86.4,0
61.6,1
67.2,1
64.9,1
100.4,0
49.5,1
91.8,0
90.8,0
90.4,0
73.5,1
72.8,0
76.4,1
94.5,0
76.7,0
102.7,0
51.8,1
93.6,0
66.6,1
63.8,1
57.8,1
88.9,0
75.1,0
107.3,0
87.0,0
108.0,0
78.2,0
87.1,0
97.5,0
72.3,0
94.4,0
72.3,0
102.0,0
86.5,0
68.7,1
92.6,0
65.7,1
71.7,1
82.8,0
101.2,0
65.8,1
96.9,0
68.7,1
76.5,0
79.0,0
83.1,1
87.7,0
87.1,0
90.9,0
94.1,0
95.0,0
86.3,0
68.9,0
87.4,0
80.7,0
97.8,0
80.4,0
69.3,0
98.4,0
86.8,0
101.4,0
93.4,0
86.8,0
91.2,0
87.0,0
95.0,0
90.6,0
67.3,1
76.4,1
88.1,0
99.9,0
112.4,0
110.1,0
98.6,0
82.2,0
88.5,0
74.5,0
70.6,0
78.1,0
84.2,0
82.2,0
67.6,0
68.1,1
90.9,0
80.8,0
95.9,0
95.7,0
69.0,1
86.4,0
97.3,0
66.9,1
92.8,0
89.7,0
70.4,1
103.4,0
58.4,1
105.3,0
61.9,1
86.2,0
64.2,1
82.8,0
76.8,1
93.9,0
73.6,1
52.0,1
57.6,1
56.6,1
75.6,0
71.6,0
95.7,0
90.7,0
80.5,0
65.7,1
60.6,1
82.8,0
112.0,0
93.5,0
76.4,0
57.9,1
120.0,0
98.5,0
79.3,0
86.1,0
84.1,0
97.4,0
48.7,1
84.2,0
102.7,0
66.1,0
81.4,0
99.4,0
79.9,0
75.6,1
65.8,1
86.8,0
80.1,0
61.7,1
59.5,1
57.4,1
84.7,0
89.8,0
78.3,0
101.6,0
56.6,1
98.7,0
81.8,0
84.3,0
86.7,0
74.2,0
98.9,0
70.9,1
61.7,1
70.5,1
69.1,1
108.5,0
50.4,1
89.8,0
106.1,0
61.7,1
87.2,0
53.0,1
73.4,1
57.8,1
93.6,0
106.8,0
96.0,0
80.1,0
85.9,0
100.2,0
99.8,0
90.3,0
82.2,0
79.4,0
79.8,0
87.0,0
104.0,0
83.5,0
112.5,0
112.2,0
87.6,0
90.9,0
84.9,0
78.7,0
73.6,1
58.4,1
80.2,0
95.9,0
77.1,0
88.3,0
84.3,0
66.7,1
61.2,1
94.3,0
47.3,1
101.1,0
111.0,0
60.3,0
97.9,0
63.7,1
79.3,1
57.6,1
84.5,0
99.1,0
92.4,0
65.1,1
90.5,0
108.0,0
60.7,1
90.8,0
84.5,0
82.8,0
52.7,1
89.1,0
64.8,1
94.1,0
85.2,0
75.0,0
89.8,0
114.7,0
70.5,0
87.8,0
109.5,0
89.2,0
82.9,0
61.2,1
92.2,0
60.5,1
103.9,0
76.2,1
101.4,0
77.1,0
116.3,0
77.0,0
75.5,0
61.6,1
59.7,1
90.7,0
82.2,1
83.6,0
54.7,1
88.7,0
105.0,0
73.6,1
85.5,0
101.2,0
77.3,0
94.0,0
86.9,0
97.4,0
90.7,0
84.2,0
88.1,0
72.6,0
69.5,1
72.9,0
91.6,0
66.1,1
92.9,0
64.3,1
104.4,0
90.1,0
80.0,0
106.4,0
68.6,1
120.0,0
54.6,1
77.0,1
63.4,1
66.8,1
84.9,0
90.9,0
100.3,0
66.5,0
