CAS_RN,CHEMICAL_NAME,PARAMETER,constituent
BOD,"Biochemical oxygen demand, standard conditions",Biochemical Oxygen Demand,BOD
BOD,"Biochemical oxygen demand, standard conditions",Biochemical Oxygen Demand (BOD),BOD
BOD,"Biochemical oxygen demand, standard conditions","Biochemical oxygen demand, standard conditions",BOD
479-61-8,Chlorophyll a,Chlorophyll a,CHLA
479-61-8,Chlorophyll a,Chlorophyll A,CHLA
CHLA-CORR,"Chlorophyll a, corrected for pheophytin",Chlorophyll A,CHLA
CHLA-CORR,"Chlorophyll a, corrected for pheophytin",Chlorophyll-A,CHLA
CHLA-CORR,"Chlorophyll a, corrected for pheophytin",Chlorophyll,CHLA
CHLA-CORR,"Chlorophyll a, corrected for pheophytin","Chlorophyll a, pheophytin-adjusted",CHLA
CHLA-CORR,"Chlorophyll a, corrected for pheophytin","Chlorophyll a, corrected for pheophytin",CHLA
CHLA-CORR,"Chlorophyll a, corrected for pheophytin","Chlorophyll-a, Pheophytin Corrected",CHLA
CHLA-CORR,"Chlorophyll a, corrected for pheophytin","Chlorophyll a, corrected for pheophytin - Periphyton (attached)",CHLA
CHLA-CORR,"Chlorophyll a, corrected for pheophytin",Chlorophyll a,CHLA
CHLA-C-PERI,"Chlorophyll a, corrected for pheophytin - Periphyton (attached)","Chlorophyll a, corrected for pheophytin - Periphyton (attached)",CHLA
FECAL-COLIF,Fecal Coliform,Fecal Coliform,ECOLI
NO2NO3,Inorganic nitrogen (nitrate and nitrite),Nitrate/Nitrite as N (N+N) as N,N
NO2NO3,Inorganic nitrogen (nitrate and nitrite),"Nitrate + Nitrite Nitrogen, Dissolved as N",N
NO2NO3,Inorganic nitrogen (nitrate and nitrite),Nitrate/Nitrite as N as N,N
NO2NO3,Inorganic nitrogen (nitrate and nitrite),"Nitrogen, NO2 plus NO3 as N",N
NO2NO3,Inorganic nitrogen (nitrate and nitrite),N+N as N,N
NO2NO3,Inorganic nitrogen (nitrate and nitrite),Nitrate/Nitrite as N,N
NO2NO3,Inorganic nitrogen (nitrate and nitrite),Inorganic nitrogen (nitrate and nitrite) as N,N
NO2NO3,Inorganic nitrogen (nitrate and nitrite),"Nitrate + Nitrite Nitrogen, Total",N
NO2NO3,Inorganic nitrogen (nitrate and nitrite),"Nitrate + Nitrite Nitrogen, Total as N",N
NO2NO3,Inorganic nitrogen (nitrate and nitrite),Nitrate+Nitrite Nitrogen as N,N
NO2NO3,Inorganic nitrogen (nitrate and nitrite),Inorganic nitrogen (nitrate and nitrate) as N,N
NO2NO3,Inorganic nitrogen (nitrate and nitrite),Nitrate+Nitrite as N,N
14797-55-8,Nitrate,"Nitrogen, nitrate, as NO3 as N",NO3
14797-55-8,Nitrate,Nitrate as N as N,NO3
14797-55-8,Nitrate,Nitrate-N as N,NO3
14797-55-8,Nitrate,"Nitrogen, nitrate, as N as N",NO3
14797-55-8,Nitrate,Nitrate as N,NO3
14797-65-0,Nitrite,"Nitrogen, nitrite, as N as N",NO2
14797-65-0,Nitrite,Nitrite as N,NO2
