param,i,j,value
S0,0,0,103486
S0,0,1,0
S0,0,2,0
S0,0,3,0
S0,0,4,0
S0,1,0,0
S0,1,1,103486
S0,1,2,0
S0,1,3,0
S0,1,4,0
S0,2,0,0
S0,2,1,0
S0,2,2,103486
S0,2,3,0
S0,2,4,0
S0,3,0,0
S0,3,1,0
S0,3,2,0
S0,3,3,103486
S0,3,4,0
S0,4,0,0
S0,4,1,0
S0,4,2,0
S0,4,3,0
S0,4,4,103486
Stop_time,0,0,5.0
Time_before_present,0,0,42.0052801287
nSampled_tips,0,0,300
R2S,0,0,0.0
R2S,1,1,0.0
R2S,2,2,0.0
R2S,3,3,0.0
R2S,4,4,0.0
Total_S0,0,0,103486
Total_S0,1,1,103486
Total_S0,2,2,103486
Total_S0,3,3,103486
Total_S0,4,4,103486
VisitStationaryFreqs,0,0,0.9877282778
VisitStationaryFreqs,0,1,0.0030679306
VisitStationaryFreqs,0,2,0.0030679306
VisitStationaryFreqs,0,3,0.0030679306
VisitStationaryFreqs,0,4,0.0030679306
VisitStationaryFreqs,1,0,0.0030679306
VisitStationaryFreqs,1,1,0.9877282778
VisitStationaryFreqs,1,2,0.0030679306
VisitStationaryFreqs,1,3,0.0030679306
VisitStationaryFreqs,1,4,0.0030679306
VisitStationaryFreqs,2,0,0.0030679306
VisitStationaryFreqs,2,1,0.0030679306
VisitStationaryFreqs,2,2,0.9877282778
VisitStationaryFreqs,2,3,0.0030679306
VisitStationaryFreqs,2,4,0.0030679306
VisitStationaryFreqs,3,0,0.0030679306
VisitStationaryFreqs,3,1,0.0030679306
VisitStationaryFreqs,3,2,0.0030679306
VisitStationaryFreqs,3,3,0.9877282778
VisitStationaryFreqs,3,4,0.0030679306
VisitStationaryFreqs,4,0,0.0030679306
VisitStationaryFreqs,4,1,0.0030679306
VisitStationaryFreqs,4,2,0.0030679306
VisitStationaryFreqs,4,3,0.0030679306
VisitStationaryFreqs,4,4,0.9877282778
VisitApproxInfect,0,0,2.16245e-05
VisitApproxInfect,0,1,6.72e-08
VisitApproxInfect,0,2,6.72e-08
VisitApproxInfect,0,3,6.72e-08
VisitApproxInfect,0,4,6.72e-08
VisitApproxInfect,1,0,6.72e-08
VisitApproxInfect,1,1,2.16245e-05
VisitApproxInfect,1,2,6.72e-08
VisitApproxInfect,1,3,6.72e-08
VisitApproxInfect,1,4,6.72e-08
VisitApproxInfect,2,0,6.72e-08
VisitApproxInfect,2,1,6.72e-08
VisitApproxInfect,2,2,2.16245e-05
VisitApproxInfect,2,3,6.72e-08
VisitApproxInfect,2,4,6.72e-08
VisitApproxInfect,3,0,6.72e-08
VisitApproxInfect,3,1,6.72e-08
VisitApproxInfect,3,2,6.72e-08
VisitApproxInfect,3,3,2.16245e-05
VisitApproxInfect,3,4,6.72e-08
VisitApproxInfect,4,0,6.72e-08
VisitApproxInfect,4,1,6.72e-08
VisitApproxInfect,4,2,6.72e-08
VisitApproxInfect,4,3,6.72e-08
VisitApproxInfect,4,4,2.16245e-05
StartState,0,0,2
StartState,1,1,2
actual_sim_time,0,0,5.0
SampleCount,0,0,0.0
SampleCount,1,1,0.0
SampleCount,2,2,135.0
SampleCount,3,3,0.0
SampleCount,4,4,0.0
num_sampled_per_capita,0,0,0.0
num_sampled_per_capita,1,1,0.0
num_sampled_per_capita,2,2,0.0013045243
num_sampled_per_capita,3,3,0.0
num_sampled_per_capita,4,4,0.0
Prevalence,0,0,0.0
Prevalence,1,1,0.0
Prevalence,2,2,1.0
Prevalence,3,3,0.0
Prevalence,4,4,0.0
per_capita_prevalence_at_t,0,0,0.0
per_capita_prevalence_at_t,1,1,0.0
per_capita_prevalence_at_t,2,2,9.6631e-06
per_capita_prevalence_at_t,3,3,0.0
per_capita_prevalence_at_t,4,4,0.0
most_recent_tip_age,0,0,0.0028066039
log_R0,0,0,1.900604471
log_R0,1,1,1.900604471
log_R0,2,2,1.900604471
log_R0,3,3,1.900604471
log_R0,4,4,1.900604471
log_Sample,0,0,-2.8203788946
log_Sample,1,1,-2.8203788946
log_Sample,2,2,-2.8203788946
log_Sample,3,3,-2.8203788946
log_Sample,4,4,-2.8203788946
log_Recover,0,0,-1.2762545326
log_Recover,1,1,-1.2762545326
log_Recover,2,2,-1.2762545326
log_Recover,3,3,-1.2762545326
log_Recover,4,4,-1.2762545326
log_VisitDepart,0,0,-5.931818859
log_VisitDepart,0,1,-5.931818859
log_VisitDepart,0,2,-5.931818859
