id,name,category,description,trigger,action,reward,implementation_hints,required_components,metrics
shared-channel-bridge,Shared Channel Bridge,acquisition,Networks entire companies together when users invite external contacts,Invite sent to external domain,User sends invite to vendor/partner,Both companies connect via shared channel,"Create invite flow modal|Detect external email domains|Suggest shared channel connection|Track cross-org relationships",invite_system|domain_detection|workspace_connector|analytics,external_invites|workspace_connections|cross_org_virality
guest-view-tease,Guest View Tease,acquisition,Allows unauthenticated visitors to view content in read-only mode before signing up,Unauthenticated user views shared link,Visitor browses content without login,Visitor sees value before friction of signup,"Implement guest/read-only mode|Add signup banner to guest views|Track visitor sessions|Log anonymous views",authentication|read_only_mode|banner_system|session_tracking,visitor_to_signup_rate|anonymous_views|conversion_rate
open-graph-live,Open Graph Live,acquisition,Generates dynamic Open Graph preview images with live data when content is shared socially,Bot requests page metadata for social share,System generates OG image with live data,Higher social media click-through rates,"Create dynamic OG image generator|Use edge functions for fast generation|Pull live data for previews|Cache generated images",edge_functions|image_generator|og_meta|data_api,social_ctr|shares|social_signups
read-only-seat,Read-Only Seat,acquisition,Allows users to generate secure links for view-only access without requiring login,User clicks share and selects public link,User generates signed URL for read-only access,Content gets viral exposure without security risk,"Generate signed URLs with expiration|Implement read-only permissions|Track link usage|Set token expiration policies",auth_system|url_signing|permissions|analytics,viral_k_factor|link_shares|viewer_count
cli-fast-pass,CLI Fast Pass,acquisition,Prints authentication code in terminal for quick developer onboarding,Developer runs CLI init command,CLI generates and displays login URL with code,Developer activates account in seconds,"Detect CLI usage|Generate one-time codes|Print authentication URL|Auto-login on code entry",cli_tools|otp_generator|auth_system|email_service,time_to_first_action|cli_activation_rate|dev_signups
powered-by-loop,Powered By Loop,acquisition,Adds branded watermark to free tier embeds that links back to product,Content embedded on external domain,System appends 'Powered by' footer to embed,Generates high-intent backlinks and referral traffic,"Add watermark to embed code|Check referer for embed detection|Make watermark tasteful and clickable|Track referral sources",embed_system|watermark|referer_tracking|analytics,referral_traffic|embed_installs|backlink_count
404-page-recruiter,404 Page Recruiter,acquisition,Shows popular templates and resources on 404 errors to recover lost visitors,User hits 404 error page,System displays popular templates and search,Visitor discovers valuable content instead of bouncing,"Create custom 404 page|Fetch popular content|Add search functionality|Track 404 recovery",custom_404|content_api|search|analytics,bounce_rate_recovery|404_conversions|recovered_visitors
habit-hook,Habit Hook,acquisition,Gives premium access for limited time then downgrades to build dependence,New user account created,User gets premium features for 7 days,User becomes dependent on premium features,"Set trial period duration|Auto-downgrade after period|Notify before downgrade|Track feature usage during trial",trial_system|scheduled_jobs|notification_system|feature_flags,conversion_rate|feature_adoption|trial_to_paid
magic-link-resender,Magic Link Resender,activation,Automatically resends authentication links to users who haven't completed signup,Signup completed but no session after 15 minutes,System detects stuck signup and sends fresh link,User recovers from distraction and completes signup,"Schedule background jobs every 15m|Query for stuck signups|Generate fresh magic links|Track rescue success",scheduled_jobs|auth_system|email_service|database,signup_recovery_rate|session_starts|funnel_completion
empty-state-helper,Empty State Helper,activation,Offers to load sample data when users see empty dashboards,User views dashboard with zero items,System suggests loading sample data or creating first item,User sees product value immediately,"Detect empty state on load|Show sample data option|Provide create button guidance|Track sample data usage",ui_components|sample_data|database|analytics,time_to_first_record|activation_rate|day_1_retention
first-win-celebration,First Win Celebration,activation,Triggers celebratory animation when user completes first important action,User creates their first record,System displays confetti and success message,User feels emotional reward and dopamine hit,"Listen for first record insert|Trigger confetti animation|Show success modal|Track celebration events",database_triggers|animation_library|event_system|analytics,day_1_retention|first_action_completion|engagement_rate
hello-world-api-guide,Hello World API Guide,activation,Emails developers a ready-to-use cURL command with their actual API key,API key created with zero requests sent,System generates personalized cURL example,Developer makes first API call in seconds,"Detect API key creation|Generate personalized cURL commands|Send technical email with example|Track API usage",database_triggers|email_service|api_management|analytics,time_to_hello_world|api_adoption_rate|first_call_time
integration-pathfinder,Integration Pathfinder,activation,Detects when code references integrations that aren't connected and prompts connection,SDK present in code but integration token missing,System shows banner to connect integration,User connects integration and increases retention,"Scan codebase for SDK usage|Check integration status|Show connection prompts|Track integration adoption",code_scanner|integration_api|banner_system|analytics,integration_adoption_rate|ltv|retention_rate
lost-user-beacon,Lost User Beacon,activation,Proactively shows help widget when user appears confused or hesitant,User hovers on navigation for 5+ seconds without clicking,System displays contextual help widget,User gets help before frustration leads to churn,"Track mouse hover events|Detect hesitation patterns|Show contextual help|Track help engagement",event_tracking|help_widget|ui_components|analytics,support_ticket_reduction|help_engagement|activation_rate
profile-completion-nudge,Profile Completion Nudge,activation,Adds visual indicator to settings when user profile is incomplete,User has incomplete profile fields,System adds pulsing indicator to settings,User completes profile and increases retention,"Check profile completeness|Add pulsing visual effects|Track completion events|Correlate with retention",database|ui_effects|notification_system|analytics,profile_completion_rate|retention_rate|data_quality
role-based-onboarding,Role Based Onboarding,activation,Customizes interface and onboarding based on user's role or job function,User logs in with specific role metadata,System adapts UI to show role-relevant features,User sees relevant features and activates faster,"Store role in user metadata|Create role-based UI logic|Hide irrelevant features|Track role-based activation",auth_system|ui_framework|feature_flags|analytics,onboarding_completion_rate|time_to_activation|role_satisfaction
browser-extension-prompt,Browser Extension Prompt,activation,Detects Chrome users and prompts them to install browser extension,Chrome browser detected without extension installed,System shows banner to install extension,Product stays top-of-mind in browser,"Detect browser type|Check for extension|Show installation prompt|Track extension installs",browser_detection|extension_api|banner_system|analytics,extension_install_rate|usage_frequency|dau
mobile-app-bridge,Mobile App Bridge,activation,Shows QR code to desktop users for downloading mobile app,Desktop user with no mobile session detected,System displays QR code for app download,User becomes multi-platform with higher LTV,"Detect device type|Generate QR codes|Track mobile app installs|Link desktop and mobile sessions",device_detection|qr_generator|deep_linking|analytics,cross_platform_retention|mobile_adoption|ltv
momentum-progress-bar,Momentum Progress Bar,activation,Shows sticky progress indicator for onboarding steps to drive completion,User has partially completed onboarding,System displays progress bar with remaining steps,User completes setup due to Zeigarnik effect,"Track onboarding steps|Calculate completion percentage|Show sticky progress UI|Send completion reminders",onboarding_system|progress_tracker|ui_components|analytics,setup_completion_rate|time_to_activation|completion_velocity
template-kickstart,Template Kickstart,activation,Offers pre-built templates matched to user's role immediately after signup,New signup with empty project count,System presents role-matched templates,User reduces time to value and cognitive load,"Create template library|Match templates to roles|Offer on signup|Track template adoption",template_system|role_detection|database|analytics,template_adoption_rate|time_to_value|activation_rate
shortcut-coach,Shortcut Coach,activation,Teaches keyboard shortcuts by showing tips when users click buttons that have shortcuts,User clicks UI element that has keyboard shortcut,System shows toast with keyboard shortcut tip,User learns power user shortcuts and becomes efficient,"Listen for clicks on shortcut-enabled elements|Show non-intrusive tips|Track shortcut adoption|Build shortcut education flow",event_tracking|tooltip_system|keyboard_handler|analytics,shortcut_adoption_rate|session_efficiency|power_user_rate
persona-video,Persona Video,activation,Shows role-specific welcome video from relevant executive on first login,User's first login with role information,System displays personalized welcome video,User feels trust and connection to brand,"Create role-specific videos|Detect first login|Show video modal|Track engagement",video_hosting|role_detection|modal_system|analytics,video_engagement_rate|trust_score|activation_rate
smart-import,Smart Import,activation,Detects structured data on clipboard and offers to import it automatically,User pastes or focuses window with CSV data,System prompts to import clipboard data,User eliminates manual data entry friction,"Listen for paste events|Detect structured data formats|Offer import functionality|Track import success",clipboard_api|data_parser|import_system|analytics,data_import_rate|time_to_value|activation_rate
contextual-chain,Contextual Chain,activation,Analyzes feature dependencies and highlights next logical feature after completion,User completes a feature action,System highlights related next feature,User discovers more features and reduces blindness,"Build feature dependency graph|Track feature completion|Highlight next steps|Track feature adoption flow",event_tracking|feature_graph|ui_highlights|analytics,feature_adoption_rate|feature_breadth|cross_feature_usage
omnichannel-next-step,Omnichannel Next Step,activation,Delivers next-step nudges via UI if online or email if offline,User completes task and system checks presence,System sends nudge via best available channel,User receives message regardless of online status,"Detect user presence|Route messages by channel|Track multi-channel engagement|Ensure message deduplication",presence_system|email_service|notification_system|analytics,action_conversion_rate|message_delivery_rate|engagement_rate
contextual-companion,Contextual Companion,activation,Places visual indicators on features the user has never tried,Feature has zero usage by user,System adds pulsing beacon to unused feature,User discovers features without interruption,"Track per-user feature usage|Add visual beacons|Make indicators dismissible|Track discovery rate",usage_tracking|ui_effects|feature_flags|analytics,first_time_usage_rate|feature_discovery|feature_adoption
empty-state-filler,Empty State Filler,activation,Shows feature promotions in empty list views and dead-end screens,User views list with zero items,System displays inline feature promotion,Unused screen real estate drives feature discovery,"Detect empty states|Show relevant promotions|Track promo engagement|A/B test messaging",ui_components|content_system|analytics|ab_testing,feature_traffic_lift|promo_ctr|conversion_rate
blank-canvas-filler,Blank Canvas Filler,activation,Offers to populate empty databases with sample data to show value,User has empty database table,System offers to load sample data,User sees value immediately and reduces anxiety,"Detect empty tables|Create sample data sets|Offer load option|Track sample usage",database|sample_data|ui_components|analytics,time_to_first_value|activation_rate|exploration_rate
code-copier,Code Copier,activation,Shows security-aware confirmation when developers copy sensitive values,Developer clicks copy button on secrets,System shows toast confirming copy with security reminder,Developer is more security-conscious,"Listen for copy events on sensitive fields|Show confirmation toast|Add security messaging|Track copy events",clipboard_api|security_system|notification_system|analytics,dev_satisfaction|security_awareness|safe_usage_rate
integrator-nudge,Integrator Nudge,activation,Sends integration guides to users who completed setup but have no integrations,Setup complete with zero integrations connected,System emails integration setup guide,User connects integrations and increases stickiness,"Check integration status|Trigger email after setup|Provide integration guides|Track adoption",scheduled_jobs|email_service|integration_api|analytics,integration_adoption_rate|retention_rate|stickiness
syntax-highlighter,Syntax Highlighter,activation,Offers to search documentation when developer selects error text,Developer selects text in error logs,System shows popover to search docs,Developer finds solutions faster,"Listen for text selection events|Detect error patterns|Offer docs search|Track search success",selection_api|search_system|documentation|analytics,docs_ctr|debugging_speed|support_reduction
