product_id,product_name,category_id,unit_price,cost_price,stock_quantity,is_active,created_date
1,"Wireless Bluetooth Headphones",1,79.99,45.0,500,1,2024-01-15
2,"Smart Watch Pro",1,249.99,150.0,300,1,2024-02-01
3,"USB-C Hub Adapter",1,39.99,18.0,800,1,2024-01-20
4,"Portable Power Bank 20000mAh",1,49.99,25.0,600,1,2024-03-10
5,"Mechanical Keyboard RGB",1,129.99,70.0,400,1,2024-02-15
6,"Cotton T-Shirt Basic",2,24.99,8.0,1500,1,2024-01-10
7,"Denim Jeans Classic",2,59.99,25.0,800,1,2024-01-12
8,"Winter Jacket Insulated",2,149.99,65.0,400,1,2024-03-01
9,"Running Sneakers",2,89.99,40.0,600,1,2024-02-20
10,"Leather Belt Premium",2,34.99,12.0,900,1,2024-01-25
11,"Garden Tool Set 5-Piece",3,44.99,20.0,350,1,2024-02-10
12,"LED Desk Lamp Adjustable",3,34.99,15.0,500,1,2024-01-18
13,"Air Purifier HEPA",3,179.99,90.0,250,1,2024-03-05
14,"Kitchen Knife Set",3,69.99,30.0,400,1,2024-02-08
15,"Bamboo Cutting Board",3,24.99,10.0,700,1,2024-01-30
16,"Yoga Mat Premium",4,39.99,15.0,600,1,2024-02-12
17,"Camping Tent 4-Person",4,199.99,100.0,200,1,2024-03-15
18,"Fitness Resistance Bands",4,19.99,6.0,1000,1,2024-01-22
19,"Hiking Backpack 40L",4,79.99,35.0,350,1,2024-02-25
20,"Bicycle Water Bottle",4,14.99,5.0,1200,1,2024-01-28
21,"Bestseller Novel Collection",5,29.99,12.0,800,1,2024-02-05
22,"Language Learning Course",5,49.99,15.0,500,1,2024-03-08
23,"Classic Vinyl Record Set",5,59.99,25.0,300,1,2024-02-18
24,"E-Reader Case Premium",5,24.99,8.0,600,1,2024-01-14
25,"Audiobook Subscription Card",5,99.99,40.0,400,1,2024-03-12
