Repository,Stars,Forks,Watchers,Last Commit,Created,Open Issues,Open PRs,Status,Recommendation,Priority,Rationale,Dependencies,Archive Message
OpenAdapt,1470,216,15,2026-01-17,2023-04-12,0,0,Active,Keep,CRITICAL,"Main repository with high visibility and community engagement. Core product.",None,N/A
openadapt-web,7,12,1,2026-01-17,2023-05-04,5,1,Active,Keep,HIGH,"Official website for OpenAdapt.AI. Active development with contributors.",None,N/A
openadapt-tray,0,0,0,2026-01-17,2026-01-17,1,0,Active,Keep,HIGH,"New system tray GUI for OpenAdapt. Part of modular architecture.",Uses openadapt packages,N/A
openadapt-evals,0,0,0,2026-01-17,2026-01-16,0,2,Active,Keep,HIGH,"Unified evaluation framework for GUI agents. Critical for benchmarking.",Uses openadapt-viewer,N/A
openadapt-viewer,0,0,0,2026-01-17,2026-01-16,0,1,Active,Keep,HIGH,"Shared HTML visualization components. Used by multiple packages.",None,N/A
openadapt-ml,2,0,0,2026-01-17,2025-12-07,1,2,Active,Keep,HIGH,"ML training toolkit. Core to product strategy.",Uses openadapt-capture openadapt-viewer openadapt-privacy,N/A
openadapt-capture,0,0,0,2026-01-17,2025-12-12,0,2,Active,Keep,HIGH,"Data collection infrastructure. Foundation for ML training.",Uses openadapt-privacy,N/A
openadapt-retrieval,0,0,0,2026-01-17,2026-01-16,0,0,Active,Keep,MEDIUM,"Multimodal demo retrieval. Part of RAG strategy.",None,N/A
openadapt-grounding,0,0,0,2026-01-17,2026-01-14,0,1,Active,Keep,MEDIUM,"UI element detection with temporal smoothing. Critical for reliability.",Uses OmniParser,N/A
openadapt-agent,0,0,0,2026-01-17,2026-01-17,0,0,Active,Keep,HIGH,"Production execution engine with safety gates. Bridges eval to production.",Uses openadapt-grounding,N/A
openadapt-telemetry,0,0,0,2026-01-17,2026-01-17,0,0,Active,Keep,MEDIUM,"Unified error tracking and analytics. Operational infrastructure.",None,N/A
openadapt-privacy,0,2,0,2026-01-17,2025-12-12,0,0,Active,Keep,HIGH,"PII/PHI detection and redaction. Critical for enterprise adoption.",None,N/A
.github,0,0,0,2026-01-17,2024-09-16,0,0,Active,Keep,LOW,"Organization-level GitHub configuration.",None,N/A
OmniMCP,68,13,1,2025-04-08,2025-03-17,12,4,Moderate,Keep,HIGH,"Popular integration project with active community. High engagement.",None,N/A
PydanticPrompt,5,0,0,2025-04-06,2025-03-23,0,1,Moderate,Keep,MEDIUM,"Utility library for LLM schema documentation. Useful tooling.",None,N/A
OpenAdapter,1,0,0,2025-02-18,2024-10-30,3,1,Low,Keep,MEDIUM,"Cloud deployment automation for models. Strategic infrastructure.",None,N/A
OmniParser,4,1,0,2025-02-14,2024-10-28,1,1,Low,Keep,MEDIUM,"Fork of Microsoft OmniParser with modifications for OpenAdapt.",None,N/A
OpenCUA,1,0,0,2025-08-18,2025-08-18,0,0,Fork,Keep,MEDIUM,"Research dataset reference (AgentNet). Educational value.",None,N/A
SoM,13,5,0,2024-06-05,2023-12-10,1,0,Low,Keep,MEDIUM,"Set-of-Mark prompting fork with OpenAdapt modifications.",None,N/A
atomacos,7,1,0,2023-08-08,2023-05-14,0,0,Stale,Keep,HIGH,"macOS accessibility automation. Critical dependency for macOS support.",Used by OpenAdapt,N/A
pynput,4,1,0,2023-08-08,2022-11-08,0,0,Stale,Keep,HIGH,"Input device control fork. Critical dependency for automation.",Used by OpenAdapt,N/A
app,0,3,1,2025-01-11,2025-01-11,0,0,Empty,Review,"DECISION NEEDED","Desktop app repository with only LICENSE file. No code committed.","If developed, uses OpenAdapt","Archive if no development in 30 days: Empty repository placeholder for planned desktop application. Development moved to openadapt-tray. See https://github.com/OpenAdaptAI/openadapt-tray"
openadapt-new,0,0,0,2026-01-17,2026-01-16,0,0,Archived,Keep Archived,N/A,"Correctly archived sandbox repository.",None,N/A
OpenAdaptVault,2,0,0,2024-10-30,2024-10-30,0,0,Archived,Keep Archived,N/A,"Correctly archived historical snapshot.",None,N/A
OpenSanitizer,5,0,0,2024-10-31,2024-10-31,0,0,Superseded,Archive,PHASE 2,"Superseded by openadapt-privacy. Same functionality.",None,"This project has been superseded by openadapt-privacy which provides enhanced PII/PHI detection and redaction. Please migrate to: https://github.com/OpenAdaptAI/openadapt-privacy"
OpenReflector,2,0,0,2024-10-31,2024-10-31,0,0,Experimental,Archive,PHASE 2,"Experimental Anthropic Computer Use integration. Limited adoption.",None,"Experimental project for Anthropic Computer Use container integration. Archived due to limited adoption and integration challenges. Core functionality being incorporated into main OpenAdapt workflow."
procdoc,0,0,0,2024-08-08,2024-06-25,0,0,Stale,Archive,PHASE 2,"Process documentation experiment. Inactive >6 months.",None,"Process documentation experiment archived due to inactivity. Functionality may be integrated into future OpenAdapt releases. See main OpenAdapt repository for current documentation."
openadapt-gitbook,1,1,1,2023-12-13,2023-06-08,0,0,Obsolete,Archive,PHASE 2,"Documentation moved to website and READMEs.",None,"Documentation has been migrated to the main website (https://openadapt.ai) and individual repository READMEs as part of the modular architecture transition."
oa.blog,0,1,0,2023-07-27,2023-07-26,1,0,Inactive,Archive,PHASE 2,"Inactive blog theme fork.",None,"Blog theme fork archived. OpenAdapt news updates and announcements available at https://openadapt.ai"
OmniMCP.web,0,1,0,2025-03-22,2025-03-19,0,0,Fork,Archive,PHASE 1,"Netlify template fork with minimal changes.",None,"Web interface fork for OmniMCP archived. Development consolidated into main OmniMCP repository. See https://github.com/OpenAdaptAI/OmniMCP"
