dimension,granularity,indicator_name,result,status
cost,activities,fixed_cost,,Column 'cost:fixed' is not present in event log.
cost,activities,human_resource_count,,Column 'human_resource' is not present in event log.
cost,activities,inventory_cost,,Column 'cost:inventory' is not present in event log.
cost,activities,labor_cost,,Column 'cost:labor' is not present in event log.
cost,activities,labor_cost_and_total_cost_ratio,,Column 'cost:labor' is not present in event log.
cost,activities,resource_count,57,Success
cost,activities,rework_cost,,Column 'cost:total' is not present in event log.
cost,activities,rework_count,20,Success
cost,activities,rework_percentage,0.167,Success
cost,activities,total_cost,,Column 'cost:total' is not present in event log.
cost,activities,total_cost_and_lead_time_ratio,,Column 'cost:total' is not present in event log.
cost,activities,total_cost_and_outcome_unit_ratio,,Column 'cost:total' is not present in event log.
cost,activities,total_cost_and_service_time_ratio,,Column 'cost:total' is not present in event log.
cost,activities,variable_cost,,Column 'cost:variable' is not present in event log.
cost,cases,automated_activity_cost,,Column 'cost:total' is not present in event log.
cost,cases,desired_activity_count,2,Success
cost,cases,direct_cost,,Column 'cost:total' is not present in event log.
cost,cases,fixed_cost,,Column 'cost:fixed' is not present in event log.
cost,cases,human_resource_count,,Column 'human_resource' is not present in event log.
cost,cases,inventory_cost,,Column 'cost:inventory' is not present in event log.
cost,cases,labor_cost,,Column 'cost:labor' is not present in event log.
cost,cases,labor_cost_and_total_cost_ratio,,Column 'cost:labor' is not present in event log.
cost,cases,maintenance_cost,,Column 'cost:maintenance' is not present in event log.
cost,cases,missed_deadline_cost,,Column 'cost:missed_deadline' is not present in event log.
cost,cases,overhead_cost,,Column 'cost:total' is not present in event log.
cost,cases,resource_count,6,Success
cost,cases,rework_cost,,Column 'cost:total' is not present in event log.
cost,cases,rework_count,12,Success
cost,cases,rework_percentage,0.429,Success
cost,cases,total_cost,,Column 'cost:total' is not present in event log.
cost,cases,total_cost_and_lead_time_ratio,,Column 'cost:total' is not present in event log.
cost,cases,total_cost_and_outcome_unit_ratio,,Column 'cost:total' is not present in event log.
cost,cases,total_cost_and_service_time_ratio,,Column 'cost:total' is not present in event log.
cost,cases,transportation_cost,,Column 'cost:transportation' is not present in event log.
cost,cases,variable_cost,,Column 'cost:variable' is not present in event log.
cost,cases,warehousing_cost,,Column 'cost:warehousing' is not present in event log.
cost,groups,automated_activity_cost,,Column 'cost:total' is not present in event log.
cost,groups,desired_activity_count,4,Success
