RULE,USER_ID,HIT_DATE,USER_LEVEL,USER_LEVEL_BADRATE,USER_TARGET
授信通过,ID20261120004467,2026/10/1,1,20.00%,1
授信通过,ID20261119001974,2026/10/1,1,20.00%,1
授信通过,ID20261116003965,2026/10/1,1,20.00%,1
授信通过,ID20261120002631,2026/10/1,1,20.00%,1
授信通过,ID20261116003919,2026/10/1,1,20.00%,1
阿里欺诈分>=95,ID20261116007161,2026/10/1,1,20.00%,1
授信通过,ID20261118004502,2026/10/1,1,20.00%,1
授信通过,ID20261120001956,2026/10/1,1,20.00%,1
授信通过,ID20261120005292,2026/10/1,1,20.00%,1
授信通过,ID20261119002359,2026/10/1,1,20.00%,1
授信通过,ID20261120002984,2026/10/1,1,20.00%,1
阿里欺诈分>=95,ID20261116003323,2026/10/1,1,20.00%,1
授信通过,ID20261120001827,2026/10/1,1,20.00%,1
授信通过,ID20261120002051,2026/10/1,1,20.00%,1
授信通过,ID20261120004559,2026/10/1,1,20.00%,1
授信通过,ID20261120002440,2026/10/1,1,20.00%,1
阿里欺诈分>=95,ID20261118003390,2026/10/1,1,20.00%,1
授信通过,ID20261121001642,2026/10/1,1,20.00%,1
阿里欺诈分>=95,ID20261119002623,2026/10/1,1,20.00%,1
授信通过,ID20261119002450,2026/10/1,1,20.00%,1
阿里欺诈分>=95,ID20261116004999,2026/10/1,1,20.00%,1
授信通过,ID20261119007987,2026/10/1,1,20.00%,1
授信通过,ID20261119003184,2026/10/1,1,20.00%,1
授信通过,ID20261121002290,2026/10/1,1,20.00%,1
百度欺诈分>=90,ID20261116002638,2026/10/1,1,20.00%,1
授信通过,ID20261120005134,2026/10/1,1,20.00%,1
授信通过,ID20261116009115,2026/10/1,1,20.00%,1
授信通过,ID20261115005025,2026/10/1,1,20.00%,1
阿里欺诈分>=95,ID20261115005904,2026/10/1,1,20.00%,1
阿里欺诈分>=95,ID20261115009378,2026/10/1,1,20.00%,1
授信通过,ID20261115009381,2026/10/1,1,20.00%,1
授信通过,ID20261115007229,2026/10/1,1,20.00%,1
授信通过,ID20261115010367,2026/10/1,1,20.00%,1
百度欺诈分>=90,ID20261115007704,2026/10/1,1,20.00%,1
授信通过,ID20261117004008,2026/10/1,1,20.00%,1
