ID,CREATE_TIME,ALI_FQZSCORE,BAIDU_FQZSCORE,NUMBER OF LOAN APPLICATIONS TO PBOC,ISBAD,AMOUNT,OVD_BAL
ID20260506015371,2023-10-24,515,399,19,1,22000,9100
ID20260510007862,2023-10-25,790,421,33,0,50000,0
ID20260503002723,2023-10-26,795,446,30,0,50000,0
ID20260510015130,2023-10-27,535,371,8,1,22000,9000
ID20260507018903,2023-10-28,555,377,2,1,21000,8900
ID20260506012666,2023-10-29,560,486,13,1,22000,8800
ID20260510018914,2023-10-30,570,457,6,1,22000,8700
ID20260507008114,2023-10-31,575,428,22,1,22000,8600
ID20260511003860,2023-11-01,575,417,18,1,22000,8500
ID20260428006313,2023-11-02,595,365,3,1,22000,8400
ID20260428021468,2023-11-03,600,412,14,1,22000,8300
ID20260505007761,2023-11-04,710,508,24,0,50000,0
ID20260510016214,2023-11-05,600,461,6,1,21000,8200
ID20260510006732,2023-11-06,605,402,16,1,21000,8100
ID20260507017318,2023-11-07,605,386,5,1,21000,8000
ID20260430013953,2023-11-08,610,382,2,1,22000,7900
ID20260501000002,2023-11-09,815,369,21,0,50000,0
ID20260429011863,2023-11-10,615,389,5,1,100000,7800
ID20260507010108,2023-11-11,615,453,5,1,100000,7700
ID20260505006210,2023-11-12,795,515,21,0,50000,0
ID20260509008032,2023-11-13,620,368,19,1,50000,7600
ID20260501013910,2023-11-14,630,401,10,1,20000,7500
ID20260506001744,2023-11-15,635,402,21,1,50000,7400
ID20260505007553,2023-11-16,635,394,8,1,20000,7300
ID20260429010770,2023-11-17,640,367,17,1,50000,7200
ID20260506016751,2023-11-18,640,398,11,1,50000,7100
ID20260507010425,2023-11-19,640,444,8,1,50000,7000
ID20260507017456,2023-11-20,645,420,20,1,50000,6900
ID20260427016025,2023-11-21,645,420,4,1,100000,6800
ID20260504007720,2023-11-22,650,406,21,1,100000,6700
ID20260428020775,2023-11-23,835,471,18,0,50000,0
ID20260509009193,2023-11-24,810,408,18,0,50000,0
ID20260509009407,2023-11-25,650,340,4,1,20000,6600
ID20260429014507,2023-11-26,655,437,21,1,50000,6500
ID20260428011112,2023-11-27,655,396,11,1,20000,6400
ID20260429012265,2023-11-28,655,398,10,1,50000,6300
ID20260505005377,2023-11-29,655,394,4,1,50000,6200
ID20260510016365,2023-11-30,815,445,17,0,50000,0
ID20260507007230,2023-12-01,655,340,3,1,50000,6100
ID20260505001482,2023-12-02,665,497,26,1,100000,6000
ID20260428017275,2023-12-03,665,443,5,1,100000,5900
ID20260428004542,2023-12-04,665,388,4,1,50000,5800
ID20260503009263,2023-12-05,670,389,25,1,50000,5700
ID20260413008103,2023-12-06,670,490,24,1,20000,5600
ID20260506005301,2023-12-07,835,412,14,0,50000,0
ID20260510014164,2023-12-08,670,470,8,1,20000,5500
ID20260506013713,2023-12-09,670,387,5,1,50000,5400
ID20260510009225,2023-12-10,670,538,5,1,50000,5300
ID20260506012355,2023-12-11,675,388,15,1,50000,5200
ID20260505008020,2023-12-12,615,514,13,0,50000,0
ID20260428008924,2023-12-13,675,452,13,1,100000,5100
ID20260510014728,2023-12-14,680,426,13,1,100000,5000
ID20260507017586,2023-12-15,680,372,7,1,50000,4900
ID20260429006719,2023-12-16,680,490,6,1,50000,4800
ID20260501017989,2023-12-17,685,401,21,1,20000,4700
ID20260506021566,2023-12-18,685,418,19,1,50000,4600
ID20260510009314,2023-12-19,685,404,15,1,20000,4500
ID20260505008049,2023-12-20,685,424,8,1,50000,4400
ID20260507010019,2023-12-21,690,390,10,1,50000,4300
ID20260507008909,2023-12-22,690,441,9,1,50000,4200
ID20260428015239,2023-12-23,690,388,8,1,50000,4100
ID20260428013428,2023-12-24,795,491,11,0,100000,0
ID20260502012219,2023-12-25,760,373,11,0,100000,0
ID20260428020079,2023-12-26,785,373,11,0,50000,0
ID20260502003849,2023-12-27,690,374,5,1,50000,4000
ID20260421003702,2023-12-28,690,405,4,1,20000,3900
ID20260508009367,2023-12-29,695,494,21,1,50000,3800
ID20260509011334,2023-12-30,695,388,17,1,20000,3700
ID20260428010229,2023-12-31,695,450,12,1,50000,3600
ID20260510011132,2024-01-01,695,388,5,1,50000,3500
ID20260426012938,2024-01-02,655,511,10,0,50000,0
ID20260510020747,2024-01-03,700,458,35,1,50000,3400
ID20260506015751,2024-01-04,700,409,6,1,100000,3300
ID20260429013081,2024-01-05,830,462,10,0,100000,0
ID20260505006417,2024-01-06,665,422,10,0,50000,0
ID20260506014633,2024-01-07,785,505,10,0,50000,0
ID20260510012312,2024-01-08,700,412,6,1,20000,3200
ID20260506014282,2024-01-09,785,422,10,0,50000,0
ID20260429012709,2024-01-10,700,407,5,1,20000,3100
ID20260510007002,2024-01-11,790,394,10,0,50000,0
ID20260510008813,2024-01-12,830,522,10,0,50000,0
ID20260504008245,2024-01-13,705,365,30,1,50000,3000
ID20260511014585,2024-01-14,780,412,10,0,50000,0
ID20260428011725,2024-01-15,825,442,9,0,100000,0
ID20260428019994,2024-01-16,770,500,9,0,100000,0
ID20260509014254,2024-01-17,705,403,12,1,50000,2900
ID20260505008528,2024-01-18,760,451,9,0,50000,0
ID20260510021377,2024-01-19,705,425,11,1,20000,2800
ID20260506015287,2024-01-20,705,492,6,1,50000,2700
ID20260507011343,2024-01-21,760,490,9,0,20000,0
ID20260509006624,2024-01-22,850,463,9,0,50000,0
