# Losivari+ (2015) Table 2
# each number followed by its error
# name    kT   R_spec   R_500   M_500   M_gas,500   R_2500    M_2500   M_gas,2500   t_cool   L_X,xmm  
#        kev   h^-1_70 \ kpc   h^-1_70 \ kpc    10^13 \ h^-1_70 \ M_sun    10^12 \ h^-5/2_70 \ M_sun   h^-1_70 \ kpc   10^13 \ h^-1_70 \ M_sun   10^12 \ h^-5/2_70   Gyr   10^43 \ erg \ s^-1
#
NGC4936   0.85 0.03   167   417 21   2.07 0.32   1.69 0.24   187 9   0.93 0.14   0.49 0.02   0.69 0.15   0.42 0.04   
S0753     1.51 0.03   219   547 36   4.67 0.94   3.53 0.19   211 5   1.33 0.11   0.62 0.04   1.30 0.26   0.69 0.08    
HCG62     1.05 0.01   245   437 6   2.39 0.54   2.01 0.22   202 1   1.17 0.24   0.49 0.08   0.10 0.14   0.62 0.06   
S0805     1.01 0.01   201   427 58   2.22 0.97   1.71 0.42   155 13   0.53 0.13   0.17 0.04   1.03 0.07   0.62 0.05   
NGC3402   0.96 0.02   127   470 9   2.95 0.18   1.35 0.16   210 2   1.32 0.29   0.49 0.02   0.17 0.01   0.66 0.03   
A194      1.37 0.04   278   463 23   2.83 0.43   2.72 0.26   197 11   1.09 0.13   0.47 0.06   21.6 4.41   0.71 0.07   
RXCJ1840.6-7709   1.17 0.04   112   488 12   3.31 0.24   1.71 0.17   219 5   1.49 0.10   0.53 0.04   0.05 0.01   1.01 0.06   
WBL154   1.19 0.02   254   508 8   3.53 0.18   2.71 0.16   233 4   1.71 0.07   0.60 0.04   0 0  0.68 0.04   
S0301     1.35 0.03   348   497 47   3.49 0.86   3.06 0.44   230 8   1.73 0.32   0.91 0.05   0.48 0.03   0.95 0.08   
NGC1132   1.08 0.01   206   490 9   3.35 0.19   2.47 0.06   215 2   1.41 0.04   0.69 0.01   0.63 0.03   0.84 0.04   
IC1633     2.80 0.06   263   797 80   14.4 2.62   11.5 1.65   289 35   3.43 1.25   1.59 0.43   5.26 1.21   2.07 0.64   
NGC4325   1.00 0.01   252   435 3   2.34 0.05   1.69 0.03   205 1   1.22 0.01   0.62 0.01   0.14 0.01   1.29 0.07   
RXCJ2315.7-0222   1.39 0.02   425   552 25   4.78 0.68   3.79 0.15   253 10   2.30 0.30   1.14 0.09   0.92 0.44   1.31 0.10   
NGC6338   1.97 0.09   436   671 39   8.59 1.50   6.34 0.33   295 15   3.66 0.13   1.96 0.17   0.69 0.11   2.58 0.40   
IIIZw054  2.17 0.02   312   694 14   9.51 0.57   9.06 0.37   307 5   4.11 0.19   2.42 0.10   4.95 0.97   3.90 0.24   
IC1262    1.87 0.02   480   625 11   6.96 0.37   5.34 0.29   208 13   1.28 0.23   0.62 0.11   0.88 0.09   3.28 0.58   
AWM4      2.45 0.03   333   724 38   10.8 1.72   6.50 0.35   309 12   4.19 0.49   2.16 0.15   4.41 0.25   2.87 0.25   
A3390   1.58 0.06   272   543 21   4.37 0.51   1.94 0.19   253 14   2.22 0.37   0.51 0.07   0 0  1.41 0.11   
CID28     2.01 0.02   360   655 11   8.00 0.42   6.27 0.16   295 3   3.66 0.13   1.77 0.04   2.50 0.22   1.82 0.09   
UGC03957  2.66 0.03   496   751 20   12.1 0.95   8.17 0.46   357 5   6.47 0.28   3.05 0.13   0.81 0.03   5.27 0.35   
