# from REZ et al Acta Cryst.  A50, 481-497 (1994).
# DOI: 10.1107/S0108767393013200
# Table 3 X-ray Scattering Factors valid up to 2 1/A  with q=sin(theta)/lambda
# Correction for Cu from Rez et al Acta Cryst. (1997). A53, 522
#
# our usual Q is  Q=4*pi*q so the valid range is 4*pi*2 = 24  unit 1/A
#
# 4 gaussians fx(s) =sum_j( aj*exp(- bj*q^2).)
# symbol Z a1 b1    a2 b2        a3 b3         a4 b4
He 2  0.9293 8.6243 .6200 2.8879 .3318 22.3531 .1188 .6748
Li 3  1.3569 3.3246 .5338 .6856 .4316 66.4053 .6778 149.9503
Be 4  1.5242 42.3109 1.2628 1.7276 .6125 97.9345 .6004 .4090
B  5  2.0730 23.3127 1.2077 1.0718 1.0773 60.7133 .6411 0.2699
C  6  2.6158 11.3632 .2279 3.0830 1.5983 .3787 1.5602 49.7088
N  7   .4743 .1041 2.9082 9.1890 2.2778 27.0869 1.3332 0.4612
O  8  3.4716 11.9964 1.8289 4.7941 1.7198 .2372 .9790 31.9917
F  9  3.8364 9.8148 2.3728 3.8835 1.7299 .1904 1.0600 25.9693
Ne 10 4.2156 8.1154 2.9030 3.1648 1.7341 .1553 1.1463 21.5835
Na 11 4.1946 2.8601 3.8961 7.9204 1.7637 .1346 1.1391 125.7209
Mg 12 4.5028 2.3277 2.2123 77.7413 1.7687 .1146 3.5049 5.9035
Al 13 6.9497 2.4785 1.9692 .1286 1.1904 12.5062 2.8774 66.1402
Si 14 7.1620 1.9861 .9286 13.9567 1.8869 .0966 4.0099 51.3981
P  15 7.1583 1.7276 3.4832 23.7455 2.0781 .1140 2.2770 57.1173
S  16 7.1301 1.4247 5.0712 21.7545 2.0611 .0994 1.7369 54.2128
Cl 17 1.9223 .0722 7.1697 1.1600 6.1830 18.3275 1.7250 46.8148
Ar 18 1.7760 .0484 7.2215 .9567 7.3061 15.6234 1.6972 41.1982
K  19 8.3113 9.9767 8.0220 .3899 1.1654 166.1394 1.4898 36.3604
Ca 20 7.5005 7.3264 7.8568 .4028 2.8393 29.2324 1.8036 142.0442
Sc 21 8.6967 6.0531 7.6978 .3439 2.0208 133.3668 2.5917 31.1311
Ti 22 8.2824 5.9317 7.8778 .3228 3.4763 15.7854 2.3563 102.1476
V 23 9.4200 5.6518 7.9252 .2790 3.5777 19.8076 2.0762 106.9938
Cr 24 2.1592 1.7563 7.5070 .2563 11.5180 7.6002 2.7799 58.4816
Mn 25 4.6706 3.2004 7.8910 .2479 9.3545 7.8654 3.0602 64.8640
Fe 26 8.7267 3.8443 8.0070 .2319 6.4440 9.4874 2.8058 65.8373
Co 27 10.4470 3.7376 8.0361 .2146 5.8114 9.9259 2.6910 64.0058
Ni 28 11.5224 3.5052 8.0427 .1984 5.7846 9.7491 2.6363 61.2607
Cu 29 12.2615 3.2707 8.0571 0.1848 6.7589 9.6509 1.9072 58.532
Zn 30 13.1577 3.0177 8.0333 .1706 6.2005 8.8438 2.5942 55.4451
Ga 31 14.4553 2.8296 8.0236 .1584 5.3320 8.9052 3.1660 58.7737
Ge 32 15.3565 2.6125 7.9946 .1468 4.5606 8.5906 4.0649 51.2258
As 33 16.2740 2.4201 7.9707 .1365 3.8167 8.9871 4.9167 44.1949
Se 34 17.0384 2.2387 7.9488 .1273 3.5070 10.5104 5.4877 39.2994
Br 35 17.4960 2.0529 4.2115 13.0028 7.9096 .1185 5.3711 36.6126
Kr 36 17.7085 1.8641 5.9137 14.7862 7.8321 .1092 4.5393 35.6792
Rb 37 17.8838 1.7076 9.7227 16.9358 7.7948 .1022 1.5830 160.2323
Sr 38 17.8443 1.5272 9.8506 13.9829 7.6087 .0909 2.6842 131.9738
Y  39 17.9239 1.3862 10.2998 12.7104 7.4713 .0821 3.2877 104.2218
Zr 40 18.0241 1.2627 10.9315 11.8383 7.3288 .0739 3.6934 87.5310
Nb 41 18.1801 1.1578 11.9696 11.6375 7.1992 .0666 3.6219 69.8068
Mo 42 6.9981 .0579 18.2939 1.0546 12.8488 10.9149 3.8270 61.7489
Ru 44 20.3021 .4099 6.7634 2.5572 13.6174 11.2459 3.2945 59.7656
Rh 45 19.8137 .2815 12.9693 3.6398 11.9072 14.2137 .3117 .1072          
Pd 46 20.1415 .3688 12.6027 4.1475 11.5709 14.8191 .6406 .0000
Ag 47 21.1966 .3532 5.3046 2.3773 17.2072 9.1072 3.2655 48.9088
Cd 48 14.5758 4.1905 21.0830 .3158 10.4040 15.0058 1.9299 77.0010
In 49 20.6912 .2776 16.4798 3.9721 10.0509 17.6620 1.7346 77.0257
Sn 50 17.9200 3.2798 19.7597 .2388 9.4954 17.6874 2.8286 79.0376
Sb 51 16.4937 3.3219 20.2786 .2406 9.6340 11.6278 4.5839 61.6158
Te 52 18.5053 3.8099 21.5711 .2659 5.1871 12.5504 6.7321 54.3996
I  53 17.2389 3.0732 20.6465 .2293 7.9860 8.3218 7.0956 29.2052
Xe 54 19.5398 3.1997 20.9701 .2253 7.0143 13.8671 6.4594 28.5326
Cs 55 20.6321 3.1994 21.2392 .2210 11.1858 21.4501 1.9196 162.2653
Ba 56 20.5353 2.9691 21.1736 .2098 11.3434 18.6103 2.9339 153.0169
La 57 20.7434 2.7935 21.1245 .1995 11.6063 17.7161 3.5099 125.7274
Ce 58 21.2963 2.6974 21.1410 .1911 12.0325 16.8378 3.5137 121.6763
Pr 59 22.1528 2.6599 21.2189 .1843 12.6707 16.1512 2.9420 137.7915
Nd 60 22.7714 2.5670 21.2153 .1766 13.0452 15.3993 2.9515 133.2029
Sm 62 24.0711 2.3917 21.1887 .1623 13.7362 14.0288 2.9846 124.2208
Eu 63 24.7357 2.3078 21.1681 .1557 14.0669 13.4144 3.0084 119.8020
