Name,Position,Alternative positions,Team,League,Age,OVR
Lionel Messi,RW,"ST, CAM, RM",Inter Miami CF,MLS,37,88
Olivier Giroud,ST,,LAFC,MLS,37,83
Luis Suárez,ST,,Inter Miami CF,MLS,37,82
Luciano Acosta,CAM,LM,FC Cincinnati,MLS,30,81
Sergio Busquets,CDM,"CM, CB",Inter Miami CF,MLS,36,81
Jordi Alba,LB,,Inter Miami CF,MLS,35,80
Denis Bouanga,LW,"ST, LM",LAFC,MLS,29,80
Emil Forsberg,CAM,LM,Red Bulls,MLS,32,79
Carles Gil,CAM,RM,New England,MLS,31,79
Hugo Lloris,GK,,LAFC,MLS,37,79
Hany Mukhtar,CAM,ST,Nashville SC,MLS,29,79
Cristian Arango,ST,CAM,Real Salt Lake,MLS,29,78
Roman Bürki,GK,,St. Louis CITY SC,MLS,33,78
Ryan Gauld,LW,"ST, RW, LM",Whitecaps FC,MLS,28,78
Cucho Hernández,ST,,Columbus Crew,MLS,25,78
Héctor Herrera,CM,CDM,Houston Dynamo,MLS,34,78
Lorenzo Insigne,LW,"CAM, LM",Toronto FC,MLS,33,78
Luis Muriel,ST,,Orlando City,MLS,33,78
Riqui Puig,CM,CAM,LA Galaxy,MLS,25,78
Federico Bernardeschi,RW,"RM, CAM",Toronto FC,MLS,30,77
Evander,CAM,CM,Portland Timbers,MLS,26,77
Sebastián Driussi,CAM,ST,Austin FC,MLS,28,77
Illarramendi,CM,CDM,FC Dallas,MLS,34,77
Jonathan Rodríguez,ST,LM,Portland Timbers,MLS,31,77
Hugo Cuypers,ST,,Chicago Fire FC,MLS,27,76
João Paulo,CDM,CM,Sounders FC,MLS,33,76
Petar Musa,ST,,FC Dallas,MLS,26,76
Andre Blake,GK,,Philadelphia,MLS,33,75
Tomás Chancalay,LM,"RM, LW",New England,MLS,25,75
Cristian Espinoza,RM,RW,SJ Earthquakes,MLS,29,75
Jesus Ferreira,ST,CAM,FC Dallas,MLS,23,75
Dániel Gazdag,CAM,ST,Philadelphia,MLS,28,75
Marcel Hartel,CM,CAM,St. Louis CITY SC,MLS,28,75
Robin Lod,RM,"CM, CDM, RW",Minnesota United,MLS,31,75
Eduard Löwen,CM,"CDM, CAM",St. Louis CITY SC,MLS,27,75
Darlington Nagbe,CM,CDM,Columbus Crew,MLS,34,75
Joseph Paintsil,RM,RW,LA Galaxy,MLS,26,75
Ezequiel Ponce,ST,,Houston Dynamo,MLS,27,75
Matías Rojas,RW,"RM, LM",Inter Miami CF,MLS,28,75
Diego Rossi,CAM,LM,Columbus Crew,MLS,26,75
Alan Velasco,LM,"LW, CAM",FC Dallas,MLS,22,75
Kai Wagner,LB,LM,Philadelphia,MLS,27,75
Walker Zimmerman,CB,,Nashville SC,MLS,31,75
Liel Abada,RW,"RM, LW",Charlotte FC,MLS,22,74
Eduard Atuesta,CM,CDM,LAFC,MLS,27,74
Christian Benteke,ST,,D.C. United,MLS,33,74
Pavel Bucha,CDM,"CM, CAM",FC Cincinnati,MLS,26,74
Andrés Cubas,CDM,CM,Whitecaps FC,MLS,28,74
Pedro De la Vega,RW,"LW, LM, RM",Sounders FC,MLS,23,74
Facundo Farías,ST,CAM,Inter Miami CF,MLS,22,74
Gabriel Pec,RW,"LW, RM",LA Galaxy,MLS,23,74
Yeimar Gómez Andrade,CB,,Sounders FC,MLS,32,74
Klauss,ST,,St. Louis CITY SC,MLS,27,74
Mateusz Klich,CM,"CDM, LW",D.C. United,MLS,34,74
Hernán López Muñoz,CAM,"RM, LM",SJ Earthquakes,MLS,24,74
Pep Biel,CAM,ST,Charlotte FC,MLS,28,74
Djordje Mihailovic,CAM,CM,Colorado Rapids,MLS,25,74
Amahl Pellegrino,LW,LM,SJ Earthquakes,MLS,34,74
Teemu Pukki,ST,,Minnesota United,MLS,34,74
Federico Redondo,CM,CDM,Inter Miami CF,MLS,21,74
Raúl Ruidíaz,ST,,Sounders FC,MLS,34,74
Facundo Torres,RM,"LM, CAM, RW",Orlando City,MLS,24,74
Ashley Westwood,CDM,CM,Charlotte FC,MLS,34,74
Stuart Armstrong,CM,,Whitecaps FC,MLS,32,73
Diego Chará,CDM,CM,Portland Timbers,MLS,38,73
Maxime Crépeau,GK,,Portland Timbers,MLS,30,73
Mikkel Desler,RB,,Austin FC,MLS,29,73
Nicolás Freire,CB,,Inter Miami CF,MLS,30,73
Dejan Joveljić,ST,,LA Galaxy,MLS,25,73
Nicolás Lodeiro,CAM,"CM, RM",Orlando City,MLS,35,73
Matt Miazga,CB,,FC Cincinnati,MLS,29,73
Maxi Moralez,CAM,"CM, CDM",New York City FC,MLS,37,73
Lewis Morgan,ST,"LM, CAM",Red Bulls,MLS,27,73
Obinna Nwobodo,CDM,CM,FC Cincinnati,MLS,27,73
Luca Orellano,LM,"RW, RM, LW",FC Cincinnati,MLS,24,73
Joaquín Pereyra,LM,"RM, LW",Minnesota United,MLS,25,73
Tim Ream,CB,,Charlotte FC,MLS,36,73
