case:concept:name,concept:name,time:timestamp,cost:total,human_resource,org:role,org:resource,outcome_unit,unsuccessful_outcome_unit,cost:fixed,cost:variable,cost:labor,cost:inventory,client,cost:maintenance,cost:missed_deadline,cost:transportation,cost:warehousing,quality,lifecycle:transition,concept:instance
0,A,2025-01-01 10:00:05,8,Edd,Employee,Machine 1,0,0,2,6,5,1,Squidward,57,70,0,0,2,complete,i_1
0,A,2025-01-01 10:00:14,0,Ed,Boss,Machine 2,0,0,0,0,0,0,Squidward,57,70,0,0,2,start,i_4
0,C,2025-01-01 10:00:20,5,Ed,Boss,Machine 1,0,0,2,3,1,2,Squidward,57,70,0,0,2,complete,i_2
0,A,2025-01-01 10:00:21,18,Eddy,Employee,Machine 1,0,0,8,10,7,3,Squidward,57,70,0,0,2,start,i_6
0,B,2025-01-01 10:00:27,14,Ed,Boss,Machine 2,0,0,8,6,2,4,Squidward,57,70,0,0,2,complete,i_3
0,A,2025-01-01 10:00:28,7,Ed,Boss,Machine 2,0,0,2,5,5,0,Squidward,57,70,0,0,2,complete,i_4
0,D,2025-01-01 10:00:31,5,Eddy,Employee,Machine 1,95,85,3,2,0,2,Squidward,57,70,0,0,2,complete,i_5
0,A,2025-01-01 10:00:37,11,Edd,Employee,Machine 1,0,0,5,6,0,6,Squidward,57,70,0,0,2,complete,i_6
0,B,2025-01-01 10:01:05,14,Edd,Employee,Machine 2,62,5,8,6,5,1,Squidward,57,70,0,0,2,complete,i_7
0,A,2025-01-01 10:01:09,13,Ed,Boss,Machine 1,0,0,13,0,0,0,Squidward,57,70,0,0,2,complete,i_8
0,B,2025-01-01 10:01:14,19,Eddy,Employee,Machine 2,99,0,3,16,10,6,Squidward,57,70,0,0,2,complete,i_9
1,D,2025-01-01 10:01:20,20,Edd,Employee,Machine 2,0,0,11,9,3,6,Bob,0,74,0,0,2,complete,i_10
1,A,2025-01-01 10:01:25,17,Edd,Employee,Machine 2,0,0,1,16,13,3,Bob,0,74,0,0,2,complete,i_11
1,C,2025-01-01 10:01:33,11,Ed,Boss,Machine 2,78,0,2,9,2,7,Bob,0,74,0,0,2,start,i_13
1,A,2025-01-01 10:01:34,5,Ed,Boss,Machine 2,0,0,4,1,0,1,Bob,0,74,0,0,2,complete,i_12
1,C,2025-01-01 10:01:35,11,Ed,Boss,Machine 1,85,0,1,10,4,6,Bob,0,74,0,0,2,start,i_17
1,A,2025-01-01 10:01:38,10,Ed,Boss,Machine 1,0,0,7,3,2,1,Bob,0,74,0,0,2,start,i_14
1,C,2025-01-01 10:01:41,7,Eddy,Employee,Machine 2,0,0,6,1,0,1,Bob,0,74,0,0,2,complete,i_13
1,A,2025-01-01 10:01:50,6,Edd,Employee,Machine 1,0,0,6,0,0,0,Bob,0,74,0,0,2,complete,i_14
1,D,2025-01-01 10:01:58,0,Eddy,Employee,Machine 1,0,0,0,0,0,0,Bob,0,74,0,0,2,complete,i_15
1,D,2025-01-01 10:02:00,5,Ed,Boss,Machine 2,19,0,5,0,0,0,Bob,0,74,0,0,2,complete,i_16
1,D,2025-01-01 10:02:02,17,Eddy,Employee,Machine 1,0,0,15,2,0,2,Bob,0,74,0,0,2,start,i_19
1,C,2025-01-01 10:02:12,0,Edd,Employee,Machine 2,0,0,0,0,0,0,Bob,0,74,0,0,2,complete,i_17
1,A,2025-01-01 10:02:21,0,Ed,Boss,Machine 2,75,0,0,0,0,0,Bob,0,74,0,0,2,complete,i_18
1,D,2025-01-01 10:02:28,5,Ed,Boss,Machine 2,0,0,3,2,1,1,Bob,0,74,0,0,2,complete,i_19
10,A,2025-01-01 10:09:53,1,Eddy,Employee,Machine 1,0,0,0,1,0,1,Patrick,86,0,0,0,5,complete,i_20
11,A,2025-01-01 10:10:14,7,Edd,Employee,Machine 1,0,0,2,5,3,2,Sandy,51,78,0,0,5,start,i_21
11,A,2025-01-01 10:10:23,9,Ed,Boss,Machine 1,36,10,7,2,2,0,Sandy,51,78,0,0,5,complete,i_21
11,A,2025-01-01 10:10:30,20,Eddy,Employee,Machine 2,71,18,18,2,0,2,Sandy,51,78,0,0,5,start,i_23
11,A,2025-01-01 10:10:36,14,Ed,Boss,Machine 2,0,0,2,12,9,3,Sandy,51,78,0,0,5,start,i_24
11,A,2025-01-01 10:10:37,17,Eddy,Employee,Machine 2,6,0,10,7,5,2,Sandy,51,78,0,0,5,start,i_25
11,A,2025-01-01 10:10:44,14,Ed,Boss,Machine 2,0,0,1,13,6,7,Sandy,51,78,0,0,5,start,i_27
11,B,2025-01-01 10:10:51,9,Eddy,Employee,Machine 2,0,0,2,7,3,4,Sandy,51,78,0,0,5,complete,i_22
11,A,2025-01-01 10:10:58,11,Ed,Boss,Machine 1,0,0,9,2,2,0,Sandy,51,78,0,0,5,complete,i_23
11,A,2025-01-01 10:11:01,2,Eddy,Employee,Machine 2,0,0,2,0,0,0,Sandy,51,78,0,0,5,complete,i_24
11,A,2025-01-01 10:11:16,0,Eddy,Employee,Machine 2,0,0,0,0,0,0,Sandy,51,78,0,0,5,complete,i_25
11,B,2025-01-01 10:11:26,11,Eddy,Employee,Machine 1,0,0,4,7,1,6,Sandy,51,78,0,0,5,complete,i_26
11,A,2025-01-01 10:11:32,12,Eddy,Employee,Machine 2,0,0,2,10,10,0,Sandy,51,78,0,0,5,complete,i_27
11,B,2025-01-01 10:11:44,0,Ed,Boss,Machine 2,83,0,0,0,0,0,Sandy,51,78,0,0,5,complete,i_28
12,A,2025-01-01 10:11:54,15,Eddy,Employee,Machine 2,81,0,4,11,10,1,Patrick,0,74,98,36,4,complete,i_29
12,A,2025-01-01 10:12:04,1,Eddy,Employee,Machine 1,49,46,1,0,0,0,Patrick,0,74,98,36,4,complete,i_30
12,C,2025-01-01 10:12:10,0,Edd,Employee,Machine 1,0,0,0,0,0,0,Patrick,0,74,98,36,4,complete,i_31
12,C,2025-01-01 10:12:16,5,Eddy,Employee,Machine 2,0,0,4,1,1,0,Patrick,0,74,98,36,4,complete,i_32
12,A,2025-01-01 10:12:17,13,Eddy,Employee,Machine 1,0,0,13,0,0,0,Patrick,0,74,98,36,4,complete,i_33
