dimension,granularity,indicator_name,result,status
cost,activities,fixed_cost,318.0,Success
cost,activities,human_resource_count,3,Success
cost,activities,inventory_cost,96.0,Success
cost,activities,labor_cost,133.0,Success
cost,activities,labor_cost_and_total_cost_ratio,0.243,Success
cost,activities,resource_count,2,Success
cost,activities,rework_cost,388.0,Success
cost,activities,rework_count,49,Success
cost,activities,rework_percentage,0.731,Success
cost,activities,total_cost,547.0,Success
cost,activities,total_cost_and_lead_time_ratio,2230.125,Success
cost,activities,total_cost_and_outcome_unit_ratio,0.462,Success
cost,activities,total_cost_and_service_time_ratio,3808.897,Success
cost,activities,variable_cost,229.0,Success
cost,cases,automated_activity_cost,86.0,Success
cost,cases,desired_activity_count,2,Success
cost,cases,direct_cost,91.0,Success
cost,cases,fixed_cost,46.0,Success
cost,cases,human_resource_count,3,Success
cost,cases,inventory_cost,22.0,Success
cost,cases,labor_cost,28.0,Success
cost,cases,labor_cost_and_total_cost_ratio,0.292,Success
cost,cases,maintenance_cost,57.0,Success
cost,cases,missed_deadline_cost,70.0,Success
cost,cases,overhead_cost,5.0,Success
cost,cases,resource_count,2,Success
cost,cases,rework_cost,64.0,Success
cost,cases,rework_count,5,Success
cost,cases,rework_percentage,0.556,Success
cost,cases,total_cost,96.0,Success
cost,cases,total_cost_and_lead_time_ratio,5760.0,Success
cost,cases,total_cost_and_outcome_unit_ratio,0.375,Success
cost,cases,total_cost_and_service_time_ratio,11520.0,Success
cost,cases,transportation_cost,0.0,Success
cost,cases,variable_cost,50.0,Success
cost,cases,warehousing_cost,0.0,Success
cost,groups,automated_activity_cost,129.0,Success
cost,groups,desired_activity_count,6,Success
cost,groups,direct_cost,156.0,Success
cost,groups,expected_automated_activity_cost,43.0,Success
cost,groups,expected_desired_activity_count,2.0,Success
cost,groups,expected_direct_cost,52.0,Success
cost,groups,expected_fixed_cost,35.667,Success
cost,groups,expected_human_resource_count,3.0,Success
cost,groups,expected_inventory_cost,12.333,Success
cost,groups,expected_labor_cost,19.667,Success
cost,groups,expected_labor_cost_and_total_cost_ratio,0.291,Success
cost,groups,expected_maintenance_cost,36.0,Success
cost,groups,expected_missed_deadline_cost,48.0,Success
cost,groups,expected_overhead_cost,15.667,Success
cost,groups,expected_resource_count,2.0,Success
cost,groups,expected_rework_cost,32.667,Success
cost,groups,expected_rework_count,5.0,Success
cost,groups,expected_rework_percentage,0.585,Success
cost,groups,expected_total_cost,67.667,Success
cost,groups,expected_total_cost_and_lead_time_ratio,5276.643,Success
cost,groups,expected_total_cost_and_outcome_unit_ratio,0.322,Success
cost,groups,expected_total_cost_and_service_time_ratio,11079.759,Success
cost,groups,expected_transportation_cost,0.0,Success
cost,groups,expected_variable_cost,32.0,Success
cost,groups,expected_warehousing_cost,17.0,Success
cost,groups,fixed_cost,107.0,Success
cost,groups,human_resource_and_case_count_ratio,3.0,Success
cost,groups,human_resource_count,9,Success
cost,groups,inventory_cost,37.0,Success
cost,groups,labor_cost,59.0,Success
cost,groups,labor_cost_and_total_cost_ratio,0.291,Success
cost,groups,maintenance_cost,108.0,Success
cost,groups,missed_deadline_cost,144.0,Success
cost,groups,overhead_cost,47.0,Success
cost,groups,resource_count,2,Success
cost,groups,rework_cost,98.0,Success
cost,groups,rework_count,15,Success
cost,groups,rework_percentage,0.6,Success
cost,groups,total_cost,203.0,Success
cost,groups,total_cost_and_lead_time_ratio,4176.0,Success
cost,groups,total_cost_and_outcome_unit_ratio,0.322,Success
cost,groups,total_cost_and_service_time_ratio,6039.669,Success
cost,groups,transportation_cost,0.0,Success
cost,groups,variable_cost,96.0,Success
cost,groups,warehousing_cost,51.0,Success
cost,instances,fixed_cost_for_single_events_of_activity_instances,4.0,Success
cost,instances,fixed_cost_for_sum_of_all_events_of_activity_instances,4.0,Success
cost,instances,inventory_cost_for_single_events_of_activity_instances,2.0,Success
cost,instances,inventory_cost_for_sum_of_all_events_of_activity_instances,2.0,Success
cost,instances,labor_cost_and_total_cost_ratio,0.4,Success
cost,instances,labor_cost_for_single_events_of_activity_instances,4.0,Success
cost,instances,labor_cost_for_sum_of_all_events_of_activity_instances,4.0,Success
cost,instances,total_cost_and_lead_time_ratio,705.882,Success
cost,instances,total_cost_and_outcome_unit_ratio,0.125,Success
cost,instances,total_cost_and_service_time_ratio,720.0,Success
cost,instances,total_cost_for_single_events_of_activity_instances,10.0,Success
cost,instances,total_cost_for_sum_of_all_events_of_activity_instances,10.0,Success
cost,instances,variable_cost_for_single_events_of_activity_instances,6.0,Success
cost,instances,variable_cost_for_sum_of_all_events_of_activity_instances,6.0,Success
flexibility,activities,activity_instance_and_human_resource_count_ratio,22.333,Success
flexibility,activities,client_count,6,Success
flexibility,activities,directly_follows_relations_count,4,Success
flexibility,activities,human_resource_count,3,Success
flexibility,cases,activity_and_role_count_ratio,2.0,Success
flexibility,cases,activity_instance_and_human_resource_count_ratio,3.0,Success
flexibility,cases,directly_follows_relations_and_activity_count_ratio,1.75,Success
flexibility,cases,directly_follows_relations_count,7,Success
flexibility,cases,human_resource_count,3,Success
flexibility,cases,optional_activity_count,4,Success
flexibility,cases,optionality,1.0,Success
flexibility,cases,role_count,2,Success
flexibility,cases,variant_case_coverage,0.05,Success
flexibility,groups,activity_and_role_count_ratio,1.667,Success
flexibility,groups,activity_instance_and_human_resource_count_ratio,2.778,Success
flexibility,groups,client_count,3,Success
flexibility,groups,directly_follows_relations_and_activity_count_ratio,1.1,Success
flexibility,groups,directly_follows_relations_count,11,Success
flexibility,groups,expected_activity_and_role_count_ratio,1.667,Success
flexibility,groups,expected_activity_instance_and_human_resource_count_ratio,2.778,Success
flexibility,groups,expected_client_count,1.0,Success
flexibility,groups,expected_directly_follows_relations_and_activity_count_ratio,1.7,Success
flexibility,groups,expected_directly_follows_relations_count,5.667,Success
flexibility,groups,expected_human_resource_count,3.0,Success
flexibility,groups,expected_optional_activity_count,3.333,Success
flexibility,groups,expected_optionality,1.0,Success
flexibility,groups,expected_role_count,2.0,Success
flexibility,groups,human_resource_count,9,Success
flexibility,groups,optional_activity_count,4,Success
flexibility,groups,optionality,0.4,Success
flexibility,groups,role_and_variant_count_ratio,2.0,Success
flexibility,groups,role_count,6,Success
flexibility,groups,variant_case_coverage,0.15,Success
flexibility,groups,variant_count,3,Success
