#
#   VizieR Astronomical Server vizier.cfa.harvard.edu
#    Date: 2017-08-28T13:05:31 [V1.99+ (14-Oct-2013)]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	votable-version=1.99+ (14-Oct-2013)	
#INFO	-ref=VIZ59a411b97b2b	
#INFO	-out.max=unlimited	
#INFO	queryParameters=29	
#-oc.form=dec
#-out.max=unlimited
#-out.all=2
#-order=I
#-out.src=J/MNRAS/449/3263/table1
#-nav=cat:J/MNRAS/449/3263&tab:{J/MNRAS/449/3263/table1}&key:source=J/MNRAS/449/3263&HTTPPRM:&&-ref=VIZ59a411b97b2b&-out.max=50&-out.form=HTML Table&-oc.form=sexa&-c.eq=J2000&-c.r=  2&-c.u=arcmin&-c.geom=r&-order=I&-out=Name&-out=RAJ2000&-out=DEJ2000&-out=zgal&-out=logM*&-out=Class&-out=Env&-out=Survey&-out=d&-out=d/Rh&-out=l_logNHI&-out=logNHI&-out=e_logNHI&-out=logNHIu&-out=l_logNHOVI&-out=logNHOVI&-out=e_logNHOVI&-file=.&-meta.ucd=2&-meta=1&-meta.foot=1&-usenav=1&-bmark=POST&-out.src=J/MNRAS/449/3263/table1
#-c.eq=J2000
#-c.r=  2
#-c.u=arcmin
#-c.geom=r
#-source=J/MNRAS/449/3263/table1
#-order=I
#-out=Name
#-out=RAJ2000
#-out=DEJ2000
#-out=zgal
#-out=logM*
#-out=Class
#-out=Env
#-out=Survey
#-out=d
#-out=d/Rh
#-out=l_logNHI
#-out=logNHI
#-out=e_logNHI
#-out=logNHIu
#-out=l_logNHOVI
#-out=logNHOVI
#-out=e_logNHOVI
#
#RESOURCE=yCat_74493263
#Name: J/MNRAS/449/3263
#Title: Extended galaxy halo gas through HI and OVI (Johnson+, 2015)
#Table	J_MNRAS_449_3263_table1:
#Name: J/MNRAS/449/3263/table1
#Title: Summary of galaxy and absorber properties
#Column	Name	(a14)	Galaxy sightline name	[ucd=meta.id;meta.main]
#Column	RAJ2000	(A11)	Right ascension (J2000)	[ucd=pos.eq.ra;meta.main]
#Column	DEJ2000	(A11)	Declination (J2000)	[ucd=pos.eq.dec;meta.main]
#Column	zgal	(F7.4)	Galaxy redshift	[ucd=src.redshift]
#Column	logM*	(F4.1)	Stellar mass	[ucd=phys.mass]
#Column	Class	(A5)	[Early Late] Classification (1)	[ucd=meta.code.class]
#Column	Env	(A2)	[I NI A] Environment class (2)	[ucd=meta.code.class]
#Column	Survey	(a9)	Survey	[ucd=meta.note]
#Column	d	(I3)	Distance	[ucd=pos.distance]
#Column	d/Rh	(F4.1)	Virial radius normalized projected distance	[ucd=pos.distance]
#Column	l_logNHI	(A1)	Limit flag on logNHI	[ucd=meta.code.error]
#Column	logNHI	(F5.2)	? HI column density	[ucd=phys.columnDensity]
#Column	e_logNHI	(F5.2)	? rms uncertainty on logNHI	[ucd=stat.error]
#Column	logNHIu	(F5.2)	? Upper value of logNHI when interval	[ucd=phys.columnDensity]
#Column	l_logNHOVI	(A1)	Limit flag on logNHOVI	[ucd=meta.code.error]
#Column	logNHOVI	(F5.2)	? OIV column density (3)	[ucd=phys.columnDensity]
#Column	e_logNHOVI	(F5.2)	? rms uncertainty on logNHOVI	[ucd=stat.error]
#Name|RAJ2000|DEJ2000|zgal|logM*|Class|Env|Survey|d|d/Rh|l_logNHI|logNHI|e_logNHI|logNHIu|l_logNHOVI|logNHOVI|e_logNHOVI
# |"h:m:s"|"d:m:s"| |[Msun]| | | |kpc| | |[cm-2]|[cm-2]|[cm-2]| |[cm-2]|[cm-2]
#--------------|-----------|-----------|-------|----|-----|--|---------|---|----|-|-----|-----|-----|-|-----|-----
J0042-1037    |00 42 22.27|-10 37 35.2| 0.0950| 9.5|Late |I |COS-Halos| 15| 0.1| |14.80|     |18.50| |14.70| 0.22
J0226+0015    |02 26 12.98|+00 15 29.1| 0.2274|10.4|Early|I |COS-Halos| 81| 0.4| |14.36| 0.06|     |<|13.12|
HE0226-4110   |02 27 46.27|-40 53 15.1| 0.1120|10.4|Early|I |IMACS    |826| 4.1|<|12.88|     |     |<|12.90|
HE0226-4110   |02 27 57.47|-40 57 25.7| 0.2952| 8.6|Late |I |IMACS    |884| 9.8| |13.36| 0.05|     |<|12.75|
HE0226-4110   |02 28 01.44|-40 57 55.7| 0.3863| 9.8|Late |I |IMACS    |846| 6.5| |13.39| 0.04|     |<|12.66|
HE0226-4110   |02 28 04.31|-40 55 57.4| 0.1772|10.5|Early|NI|IMACS    |435| 2.1|<|12.23|     |     |<|13.07|
HE0226-4110   |02 28 04.52|-40 57 02.3| 0.3971|11.1|Late |NI|IMACS    |648| 1.8| |13.99| 0.02|     | |13.57| 0.09
HE0226-4110   |02 28 09.37|-40 57 44.5| 0.3341| 9.7|Late |NI|IMACS    |346| 2.6|<|12.36|     |     |<|12.75|
HE0226-4110   |02 28 10.23|-40 55 48.1| 0.1248| 8.5|Late |I |IMACS    |230| 2.3| |12.88| 0.05|     |<|12.84|
HE0226-4110   |02 28 10.50|-40 58 57.3| 0.3268| 9.4|Early|I |IMACS    |547| 4.7|<|12.35|     |     |<|13.05|
HE0226-4110   |02 28 11.32|-40 56 36.7| 0.2804| 8.4|Late |I |IMACS    |244| 2.8| |13.73| 0.01|     | |     |
HE0226-4110   |02 28 11.59|-40 58 53.8| 0.2492| 8.6|Late |I |IMACS    |419| 4.5| |13.38| 0.03|     |<|13.16|
HE0226-4110   |02 28 13.89|-40 59 46.2| 0.3939|10.2|Late |I |IMACS    |812| 5.2|<|12.36|     |     |<|12.62|
HE0226-4110   |02 28 14.56|-40 57 22.7| 0.2065| 8.9|Late |NI|IMACS    | 37| 0.4| |15.27| 0.06|     | |14.37| 0.01
HE0226-4110   |02 28 16.29|-40 57 27.2| 0.2678|10.3|Early|I |IMACS    | 75| 0.4|<|12.97|     |     |<|12.87|
HE0226-4110   |02 28 16.43|-41 00 38.1| 0.3184| 9.8|Late |I |IMACS    |948| 7.0|<|12.31|     |     |<|12.77|
HE0226-4110   |02 28 19.05|-40 58 00.5| 0.3416| 9.8|Late |NI|IMACS    |310| 2.3| |13.47| 0.05|     | |13.90| 0.03
HE0226-4110   |02 28 20.77|-40 56 49.7| 0.1992| 8.9|Late |NI|IMACS    |224| 2.1| |14.15| 0.01|     | |     |
HE0226-4110   |02 28 21.39|-40 57 22.7| 0.2654|11.0|Early|I |IMACS    |290| 0.9| |13.16| 0.04|     |<|13.10|
HE0226-4110   |02 28 22.39|-40 56 58.9| 0.2706|10.2|Early|I |IMACS    |345| 2.1| |13.99| 0.02|     |<|12.80|
HE0226-4110   |02 28 23.04|-40 57 18.8| 0.3553| 9.0|Late |NI|IMACS    |446| 4.4| |13.84| 0.02|     | |13.33| 0.03
HE0226-4110   |02 28 28.39|-40 56 12.9| 0.2744| 9.0|Late |I |IMACS    |677| 6.4| |     |     |     |<|12.80|
HE0226-4110   |02 28 32.13|-40 56 51.5| 0.3060|10.7|Early|NI|IMACS    |874| 3.9|<|12.34|     |     |<|12.75|
HE0226-4110   |02 28 37.32|-40 56 21.5| 0.2112|10.4|Early|NI|IMACS    |883| 4.5| |13.48| 0.02|     |<|12.70|
HE0226-4110   |02 28 41.43|-40 59 07.8| 0.1645|10.3|Late |NI|IMACS    |898| 4.9| |14.36| 0.01|     | |     |
