loss_name,loss_percentage,loss_category,loss_lower_bound,loss_upper_bound,loss_default,description
turbine_availability,1.0,Availability,0,5,1.0,"Turbine availability losses, including downtime for maintenance and repairs."
balance_plant_availability,0.0,Availability,0,5,0.0,"Balance of plant availability losses, including shutdowns of the entire wind farm."
grid_availability,0.5,Availability,0,5,0.5,"Grid availability losses, excluding curtailment issues."
electrical_operation,0.5,Electrical,0,5,0.5,"Electrical losses, including transformer and cable losses."
wf_consumption,0.2,Electrical,0,5,0.2,"Wind farm consumption losses, including auxiliary power consumption."
sub_optimal_performance,0.0,Turbine_performance,0,5,0.0,"Sub-optimal performance losses, e.g., turbine underperformance for unknown reasons."
power_curve,1.0,Turbine_performance,0,5,1.0,"Power curve losses, for example due to incorrect verification."
hysteresis,0.0,Turbine_performance,0,5,0.0,"High wind hysteresis losses."
icing,0.0,Environmental,0,5,0.0,"Losses due to icing on the blades."
blade_degradation,0.25,Environmental,0,5,0.25,"Blade degradation losses, for example due to erosion."
other_environmental_losses,0.1,Environmental,0,5,0.1,"Other environmental losses."
exposure_changes,0.0,Environmental,0,5,0.0,"Blade degradation due to exposure changes."
load_grid_curtailments,0.5,Curtailments,0,5,0.5,"Load and grid curtailments."
noise_visual_curtailments,0.0,Curtailments,0,5,0.0,"Noise and visual curtailments."
sector_management,0.5,Operational_strategies,0,5,0.5,"Sector management losses as an operational strategy to reduce wakes."
