Case ID,Activity,Resource,Complete Timestamp,Variant,Variant index,Variant.1,seriousness,customer,product,responsible_section,seriousness_2,service_level,service_type,support_section,workgroup
Case 9,Insert ticket,Value 12,2010/05/07 13:02:21.000,Variant 7,7,Variant 7,Value 1,Value 9,Value 3,Value 1,Value 3,Value 4,Value 1,Value 1,Value 1
Case 9,Assign seriousness,Value 12,2010/05/07 13:02:34.000,Variant 7,7,Variant 7,Value 1,Value 9,Value 3,Value 1,Value 2,Value 4,Value 1,Value 1,Value 1
Case 9,Take in charge ticket,Value 6,2010/05/24 10:26:28.000,Variant 7,7,Variant 7,Value 1,Value 9,Value 3,Value 1,Value 2,Value 2,Value 1,Value 1,Value 1
Case 9,Resolve ticket,Value 12,2010/05/25 15:35:44.000,Variant 7,7,Variant 7,Value 1,Value 9,Value 3,Value 1,Value 2,Value 2,Value 1,Value 1,Value 1
Case 9,Closed,Value 5,2010/06/09 15:35:56.000,Variant 7,7,Variant 7,Value 1,Value 9,Value 3,Value 1,Value 2,Value 2,Value 1,Value 1,Value 1
Case 24,Assign seriousness,Value 2,2010/04/27 09:49:56.000,Variant 1,1,Variant 1,Value 1,Value 18,Value 3,Value 1,Value 1,Value 2,Value 1,Value 1,Value 1
Case 24,Take in charge ticket,Value 2,2010/06/08 11:06:56.000,Variant 1,1,Variant 1,Value 1,Value 18,Value 3,Value 1,Value 1,Value 2,Value 1,Value 1,Value 1
Case 24,Resolve ticket,Value 2,2010/06/08 14:46:16.000,Variant 1,1,Variant 1,Value 1,Value 18,Value 3,Value 1,Value 1,Value 2,Value 1,Value 1,Value 1
Case 24,Closed,Value 5,2010/06/23 14:46:28.000,Variant 1,1,Variant 1,Value 1,Value 18,Value 3,Value 1,Value 1,Value 2,Value 1,Value 1,Value 1
Case 30,Assign seriousness,Value 2,2011/01/21 09:47:20.000,Variant 1,1,Variant 1,Value 1,Value 26,Value 3,Value 1,Value 1,Value 2,Value 1,Value 1,Value 1
