product,org:group,resource country,case:concept:name,impact,concept:name,org:resource,organization involved,lifecycle:transition,org:role,organization country,time:timestamp
PROD542,D2,Belgium,1-544976636,Medium,Accepted,Evy,Org line C,In Progress,A2_1,nl,2011-08-03 11:29:56+00:00
PROD542,D2,Belgium,1-544976636,Medium,Accepted,Evy,Org line C,In Progress,A2_1,nl,2011-08-03 11:31:12+00:00
PROD542,V37 2nd,Belgium,1-544976636,Medium,Queued,Evy,Org line V7n,Awaiting Assignment,UNKNOWN,nl,2011-08-03 11:41:04+00:00
PROD542,V37 2nd,Netherlands,1-544976636,Medium,Accepted,Tsun Fai,Org line V7n,In Progress,UNKNOWN,nl,2011-08-04 10:55:05+00:00
PROD542,V32 2nd,Netherlands,1-544976636,Medium,Queued,Tsun Fai,Org line V7n,Awaiting Assignment,UNKNOWN,nl,2011-08-04 12:56:55+00:00
PROD542,V32 2nd,Netherlands,1-544976636,Medium,Accepted,Tsun Fai,Org line V7n,In Progress,UNKNOWN,nl,2011-08-04 15:04:01+00:00
PROD542,D2,Netherlands,1-544976636,Medium,Queued,Tsun Fai,Org line C,Awaiting Assignment,A2_1,nl,2011-08-04 15:14:33+00:00
PROD542,D2,Belgium,1-544976636,Medium,Accepted,Evy,Org line C,In Progress,A2_1,nl,2011-08-04 15:20:52+00:00
PROD542,V32 2nd,Belgium,1-544976636,Medium,Queued,Evy,Org line V7n,Awaiting Assignment,UNKNOWN,nl,2011-08-04 15:26:53+00:00
PROD542,V32 2nd,Netherlands,1-544976636,Medium,Accepted,Earl,Org line V7n,In Progress,UNKNOWN,nl,2011-08-16 15:43:23+00:00
PROD542,V32 2nd,Netherlands,1-544976636,Medium,Accepted,Earl,Org line V7n,Wait - Implementation,UNKNOWN,nl,2012-03-14 15:44:27+00:00
PROD542,V37 2nd,Netherlands,1-544976636,Medium,Accepted,Juan,Org line V7n,In Progress,UNKNOWN,nl,2012-05-04 07:37:15+00:00
