case:concept:name;concept:name;time:timestamp;lifecycle:transition;concept:instance;cost:total;human_resource;org:role;org:resource;outcome_unit;cost:fixed;cost:variable;cost:labor;cost:inventory;unsuccessful_outcome_unit;client;cost:maintenance;cost:missed_deadline;cost:transportation;cost:warehousing;quality
0;A;2025-01-01 10:00:00;start;1;6;Ed;Boss;Machine 2;0;1;5;4;1;0;Patrick;51;23;30;63;3
0;A;2025-01-01 10:00:08;complete;1;6;Ed;Boss;Machine 2;0;1;5;4;1;0;Patrick;51;23;30;63;3
0;A;2025-01-01 10:00:02;start;2;1;Eddy;Employee;Machine 1;0;1;0;0;0;0;Patrick;51;23;30;63;3
0;A;2025-01-01 10:00:02;complete;2;1;Eddy;Employee;Machine 1;0;1;0;0;0;0;Patrick;51;23;30;63;3
1;D;2025-01-01 10:00:07;start;3;3;Ed;Boss;Machine 2;0;1;2;2;0;0;Krabs;57;56;46;0;2
1;D;2025-01-01 10:00:16;complete;3;3;Ed;Boss;Machine 2;0;1;2;2;0;0;Krabs;57;56;46;0;2
1;B;2025-01-01 10:00:08;complete;4;0;Edd;Employee;Machine 1;0;0;0;0;0;0;Krabs;57;56;46;0;2
1;C;2025-01-01 10:00:13;complete;5;20;Ed;Boss;Machine 2;95;9;11;9;2;0;Krabs;57;56;46;0;2
1;C;2025-01-01 10:00:13;start;5;20;Ed;Boss;Machine 2;95;9;11;9;2;0;Krabs;57;56;46;0;2
1;C;2025-01-01 10:00:16;complete;6;16;Edd;Employee;Machine 1;13;15;1;0;1;0;Krabs;57;56;46;0;2
1;C;2025-01-01 10:00:14;start;6;16;Edd;Employee;Machine 1;13;15;1;0;1;0;Krabs;57;56;46;0;2
1;B;2025-01-01 10:00:22;start;7;6;Eddy;Employee;Machine 1;19;6;0;0;0;0;Krabs;57;56;46;0;2
1;B;2025-01-01 10:00:32;complete;8;6;Ed;Boss;Machine 2;0;6;0;0;0;0;Krabs;57;56;46;0;2
1;A;2025-01-01 10:00:38;complete;9;9;Ed;Boss;Machine 2;18;4;5;4;1;0;Krabs;57;56;46;0;2
1;A;2025-01-01 10:00:35;start;9;9;Ed;Boss;Machine 2;18;4;5;4;1;0;Krabs;57;56;46;0;2
1;A;2025-01-01 10:00:48;complete;10;17;Eddy;Employee;Machine 1;23;5;12;0;12;0;Krabs;57;56;46;0;2
1;A;2025-01-01 10:00:42;start;10;17;Eddy;Employee;Machine 1;23;5;12;0;12;0;Krabs;57;56;46;0;2
1;A;2025-01-01 10:00:54;complete;11;14;Edd;Employee;Machine 2;85;4;10;10;0;20;Krabs;57;56;46;0;2
1;A;2025-01-01 10:00:49;start;11;14;Edd;Employee;Machine 2;85;4;10;10;0;20;Krabs;57;56;46;0;2
1;C;2025-01-01 10:00:59;start;12;0;Edd;Employee;Machine 1;87;0;0;0;0;0;Krabs;57;56;46;0;2
1;C;2025-01-01 10:00:59;complete;12;0;Edd;Employee;Machine 1;87;0;0;0;0;0;Krabs;57;56;46;0;2
2;A;2025-01-01 10:00:59;start;13;13;Ed;Boss;Machine 1;98;10;3;2;1;71;Gary;0;40;0;0;5
2;A;2025-01-01 10:01:06;complete;14;17;Ed;Boss;Machine 1;0;10;7;2;5;0;Gary;0;40;0;0;5
2;A;2025-01-01 10:01:05;start;14;17;Ed;Boss;Machine 1;0;10;7;2;5;0;Gary;0;40;0;0;5
2;A;2025-01-01 10:01:06;complete;15;19;Edd;Employee;Machine 1;39;0;19;16;3;0;Gary;0;40;0;0;5
2;A;2025-01-01 10:00:56;start;15;19;Edd;Employee;Machine 1;39;0;19;16;3;0;Gary;0;40;0;0;5
2;A;2025-01-01 10:01:15;complete;16;1;Eddy;Employee;Machine 1;0;1;0;0;0;0;Gary;0;40;0;0;5
2;A;2025-01-01 10:01:11;start;16;1;Eddy;Employee;Machine 1;0;1;0;0;0;0;Gary;0;40;0;0;5
2;C;2025-01-01 10:01:23;complete;17;0;Edd;Employee;Machine 1;0;0;0;0;0;0;Gary;0;40;0;0;5
