case:concept:name;concept:name;time:timestamp;lifecycle:transition;cost:total;human_resource;org:role;org:resource;outcome_unit;cost:fixed;cost:variable;cost:labor;cost:inventory;unsuccessful_outcome_unit;client;cost:maintenance;cost:missed_deadline;cost:transportation;cost:warehousing;quality
0;C;2025-01-01 10:00:06;complete;10;Eddy;Employee;Machine 1;0;0;10;8;2;0;Squidward;59;50;45;8;5
0;D;2025-01-01 10:00:15;complete;5;Eddy;Employee;Machine 2;94;0;5;1;4;27;Squidward;59;50;45;8;5
0;B;2025-01-01 10:00:16;start;0;Edd;Employee;Machine 2;0;0;0;0;0;0;Squidward;59;50;45;8;5
0;A;2025-01-01 10:00:17;complete;13;Edd;Employee;Machine 1;70;11;2;1;1;0;Squidward;59;50;45;8;5
0;A;2025-01-01 10:00:20;start;5;Eddy;Employee;Machine 2;26;0;5;5;0;24;Squidward;59;50;45;8;5
0;A;2025-01-01 10:00:20;start;15;Edd;Employee;Machine 2;32;12;3;3;0;17;Squidward;59;50;45;8;5
0;A;2025-01-01 10:00:25;complete;0;Eddy;Employee;Machine 1;0;0;0;0;0;0;Squidward;59;50;45;8;5
0;C;2025-01-01 10:00:32;complete;19;Ed;Boss;Machine 2;0;3;16;12;4;0;Squidward;59;50;45;8;5
0;D;2025-01-01 10:00:33;start;17;Eddy;Employee;Machine 2;0;8;9;2;7;0;Squidward;59;50;45;8;5
0;D;2025-01-01 10:00:36;complete;11;Eddy;Employee;Machine 1;0;2;9;1;8;0;Squidward;59;50;45;8;5
0;A;2025-01-01 10:00:43;complete;9;Edd;Employee;Machine 2;11;1;8;8;0;0;Squidward;59;50;45;8;5
0;A;2025-01-01 10:00:53;complete;0;Ed;Boss;Machine 2;26;0;0;0;0;0;Squidward;59;50;45;8;5
0;D;2025-01-01 10:01:02;start;3;Eddy;Employee;Machine 1;0;1;2;2;0;0;Squidward;59;50;45;8;5
0;B;2025-01-01 10:01:09;start;2;Edd;Employee;Machine 2;0;2;0;0;0;0;Squidward;59;50;45;8;5
0;C;2025-01-01 10:01:16;start;1;Eddy;Employee;Machine 1;0;0;1;1;0;0;Squidward;59;50;45;8;5
1;B;2025-01-01 10:01:26;complete;16;Ed;Boss;Machine 1;20;4;12;10;2;0;Squidward;93;43;45;65;3
1;B;2025-01-01 10:01:30;complete;1;Eddy;Employee;Machine 2;12;1;0;0;0;0;Squidward;93;43;45;65;3
1;C;2025-01-01 10:01:34;start;12;Ed;Boss;Machine 2;0;7;5;0;5;0;Squidward;93;43;45;65;3
1;B;2025-01-01 10:01:37;start;0;Eddy;Employee;Machine 2;78;0;0;0;0;0;Squidward;93;43;45;65;3
1;C;2025-01-01 10:01:38;complete;18;Eddy;Employee;Machine 2;1;5;13;1;12;0;Squidward;93;43;45;65;3
1;D;2025-01-01 10:01:40;start;13;Ed;Boss;Machine 2;0;10;3;1;2;0;Squidward;93;43;45;65;3
1;A;2025-01-01 10:01:42;complete;5;Edd;Employee;Machine 1;0;2;3;0;3;0;Squidward;93;43;45;65;3
1;C;2025-01-01 10:01:45;start;1;Eddy;Employee;Machine 1;0;0;1;1;0;0;Squidward;93;43;45;65;3
