Element_Name,Element_ID
Dummy_Username_element, //input[@id='DUMMY1']
Username_element, //input[@id='AuthenticationFG.USER_PRINCIPAL']
Username, 598592678
Password, Nilesh@123
Password_element, //input[@id='AuthenticationFG.ACCESS_CODE']
Login_Button, //input[@id='VALIDATE_CREDENTIALS1']
Transaction_History_Button,SBA
Home_Page, statement
Detailed_Transaction_Button,//div[@id='MYPAYEES_PANEL']/a
Transaction_History_Text, Period
Transaction_Period_RadioButton, //input[@id='SELECTED_RADIO_INDEX' and @value='1']
Transaction_Period_Dropdown,//p[4]/span[2]/span/span/div/div
Last_3_Months,"//a[contains(text(),'Last 3 Months')]"
Confirm_Transaction_Period, //input[@id='CLEAR']
Balance_Amount, No transactions found
Transaction_Period_RadioButton_Mobile,
Target, Web
