case:concept:name,concept:name,time:timestamp,human_resource,org:role,client,lifecycle:transition,concept:instance
Case 101,Insert ticket,2010-06-18 13:47:15,Value 15,Value 1,Value 18,start,i_1
Case 101,Insert ticket,2010-06-18 13:47:15,Value 15,Value 1,Value 18,complete,i_1
Case 101,Assign seriousness,2010-06-18 14:18:15,Value 15,Value 1,Value 18,start,i_2
Case 101,Assign seriousness,2010-06-18 14:18:15,Value 15,Value 1,Value 18,complete,i_2
Case 101,Take in charge ticket,2010-06-29 07:35:47,Value 2,Value 1,Value 18,start,i_3
Case 101,Take in charge ticket,2010-06-29 07:35:47,Value 2,Value 1,Value 18,complete,i_3
Case 101,Resolve ticket,2010-06-29 08:33:07,Value 2,Value 1,Value 18,start,i_4
Case 101,Resolve ticket,2010-06-29 08:33:07,Value 2,Value 1,Value 18,complete,i_4
Case 101,Closed,2010-08-05 13:50:24,Value 5,Value 1,Value 18,start,i_5
Case 101,Closed,2010-08-05 13:50:24,Value 5,Value 1,Value 18,complete,i_5
Case 1103,Assign seriousness,2012-07-26 10:09:20,Value 1,Value 2,Value 100,start,i_6
Case 1103,Assign seriousness,2012-07-26 10:09:20,Value 1,Value 2,Value 100,complete,i_6
Case 1103,Take in charge ticket,2012-07-26 10:22:56,Value 6,Value 2,Value 100,start,i_7
Case 1103,Take in charge ticket,2012-07-26 10:22:56,Value 6,Value 2,Value 100,complete,i_7
Case 1103,Resolve ticket,2012-07-27 08:54:16,Value 6,Value 2,Value 100,start,i_8
Case 1103,Resolve ticket,2012-07-27 08:54:16,Value 6,Value 2,Value 100,complete,i_8
Case 1103,Closed,2012-09-08 10:10:41,Value 5,Value 2,Value 100,start,i_9
Case 1103,Closed,2012-09-08 10:10:41,Value 5,Value 2,Value 100,complete,i_9
Case 1208,Assign seriousness,2012-02-10 08:59:22,Value 9,Value 1,Value 28,start,i_10
Case 1208,Assign seriousness,2012-02-10 08:59:22,Value 9,Value 1,Value 28,complete,i_10
Case 1208,Take in charge ticket,2012-02-10 08:59:55,Value 9,Value 1,Value 28,start,i_11
Case 1208,Take in charge ticket,2012-02-10 08:59:55,Value 9,Value 1,Value 28,complete,i_11
Case 1208,Resolve ticket,2012-02-10 17:05:32,Value 9,Value 1,Value 28,start,i_12
Case 1208,Resolve ticket,2012-02-10 17:05:32,Value 9,Value 1,Value 28,complete,i_12
Case 1208,Closed,2012-04-06 08:00:36,Value 5,Value 1,Value 28,start,i_13
Case 1208,Closed,2012-04-06 08:00:36,Value 5,Value 1,Value 28,complete,i_13
Case 1223,Assign seriousness,2010-01-26 11:36:21,Value 2,Value 1,Value 92,start,i_14
Case 1223,Assign seriousness,2010-01-26 11:36:21,Value 2,Value 1,Value 92,complete,i_14
Case 1223,Take in charge ticket,2010-01-26 11:36:30,Value 2,Value 1,Value 92,start,i_15
Case 1223,Take in charge ticket,2010-01-26 11:36:30,Value 2,Value 1,Value 92,complete,i_15
Case 1223,Resolve ticket,2010-01-26 16:06:29,Value 2,Value 1,Value 92,start,i_16
Case 1223,Resolve ticket,2010-01-26 16:06:29,Value 2,Value 1,Value 92,complete,i_16
Case 1223,Take in charge ticket,2010-01-27 14:28:58,Value 2,Value 1,Value 92,start,i_17
