ID,name,NDVI_minimum,NDVI_maximum,C4_fraction,carbon_uptake_efficiency,kn,peakVCmax_C3,peakVCmax_C4,ball_berry_slope_C3,ball_berry_slope_C4,ball_berry_intercept_C3,KG_climate,CI,canopy_height_meters,geometry
US-NC3,NC_Clearcut#3,0.4087331578417219,0.8556928956658199,0.07753171362788719,0.07999999821186066,0.40999999642372137,87.34543334528844,51.04062440664798,9.5,4.951962701536608,0.005266873734349401,3,0.2823529411764706,20.642902178642892,POINT (-76.656 35.799)
PE-QFR,Quistococha Forest Reserve,0.657359426907036,0.8266049365657256,0.0005492608001738836,0.06034712931355669,0.1250333919073654,41.36448719554118,41.36448719554118,9.500000000000002,5.000000000000001,0.004999999888241291,1,0.2549019607843137,22.140021130858546,POINT (-73.319 -3.8344)
US-Mi3,LTAR UCB (Upper Chesapeake Bay) Miscanthus 3,0.02790972024855843,0.8554605078954822,0.035045187936972484,0.07999999821186067,0.4099999964237213,119.4354427351645,119.4354427351645,7.499999999999999,4.1211708043072495,0.009882383682270773,4,0.28627450980392155,0.0,POINT (-80.637 41.8222)
US-NC4,NC_AlligatorRiver,0.5913575693840132,0.8697576485713222,0.04621943588956866,0.07999999821186066,0.4099999964237213,64.72016471509369,64.72016471509369,9.5,4.965272261227928,0.005192931745552203,3,0.20784313725490197,14.16482716188921,POINT (-75.9038 35.7879)
CA-DB2,Delta Burns Bog 2,0.3997116688495973,0.6757306344864201,0.00035587351413123274,0.07999999821186067,0.40999999642372137,109.98639536320827,109.98639536320827,9.5,4.550285561939465,0.007498413112436758,3,0.26666666666666666,9.919029464341444,POINT (-122.9951 49.119)
US-Sne,Sherman Island Restored Wetland,0.23912057151136526,0.5572457859736774,0.005166879018109502,0.08094725992358666,0.43841783083715163,60.07227719374705,49.01803092497831,9.5,5.075780914353615,0.005947261070643866,3,1.0,0.46937917905864046,POINT (-121.7547 38.0369)
US-Mi1,LTAR UCB (Upper Chesapeake Bay) Miscanthus 1,0.013335952648099655,0.8410030480622498,0.031587586099533695,0.07999999821186066,0.4099999964237214,120.00000000000001,120.00000000000001,7.500000000000001,4.099999904632568,0.009999999776482582,4,0.2901960784313726,0.0,POINT (-80.6313 41.7727)
US-PFe,NW4 Lake-1 CHEESEHEAD 2019,0.10786169952587384,0.8792312219495471,0.046937113573550446,0.07999999821186067,0.40999999642372137,68.82643068716598,68.82643068716598,7.5,5.000000000000001,0.004999999888241292,4,0.21568627450980393,6.835003613460428,POINT (-90.3004 45.9793)
US-NR1,Niwot Ridge Forest (LTER NWT1),0.1629652118545663,0.6756746233398245,0.015560672307164784,0.07999999821186066,0.40999999642372137,120.00000000000004,120.00000000000004,7.500000000000003,4.099999904632569,0.009999999776482582,4,0.1843137254901961,17.94227891238037,POINT (-105.5464 40.0329)
US-Vcp,Valles Caldera Ponderosa Pine,0.18605682690645955,0.6914219316589686,0.0007811003618295031,0.08767798548433177,0.640339477304817,136.89156293809597,58.57613477056015,7.5,5.405257260427025,0.013838991267514424,4,0.2,15.737897214796718,POINT (-106.5974 35.8624)
