dimension,granularity,indicator_name,result,status
cost,activities,fixed_cost,287.0,Success
cost,activities,human_resource_count,3,Success
cost,activities,inventory_cost,181.0,Success
cost,activities,labor_cost,246.0,Success
cost,activities,labor_cost_and_total_cost_ratio,0.345,Success
cost,activities,resource_count,2,Success
cost,activities,rework_cost,520.0,Success
cost,activities,rework_count,66,Success
cost,activities,rework_percentage,0.786,Success
cost,activities,total_cost,714.0,Success
cost,activities,total_cost_and_lead_time_ratio,3346.875,Success
cost,activities,total_cost_and_outcome_unit_ratio,0.416,Success
cost,activities,total_cost_and_service_time_ratio,7582.301,Success
cost,activities,variable_cost,427.0,Success
cost,cases,automated_activity_cost,46.0,Success
cost,cases,desired_activity_count,2,Success
cost,cases,direct_cost,82.0,Success
cost,cases,fixed_cost,44.0,Success
cost,cases,human_resource_count,3,Success
cost,cases,inventory_cost,16.0,Success
cost,cases,labor_cost,25.0,Success
cost,cases,labor_cost_and_total_cost_ratio,0.294,Success
cost,cases,maintenance_cost,57.0,Success
cost,cases,missed_deadline_cost,56.0,Success
cost,cases,overhead_cost,3.0,Success
cost,cases,resource_count,2,Success
cost,cases,rework_cost,53.0,Success
cost,cases,rework_count,5,Success
cost,cases,rework_percentage,0.556,Success
cost,cases,total_cost,85.0,Success
cost,cases,total_cost_and_lead_time_ratio,5884.615,Success
cost,cases,total_cost_and_outcome_unit_ratio,0.265,Success
cost,cases,total_cost_and_service_time_ratio,12240.0,Success
cost,cases,transportation_cost,46.0,Success
cost,cases,variable_cost,41.0,Success
cost,cases,warehousing_cost,0.0,Success
cost,groups,automated_activity_cost,158.0,Success
cost,groups,desired_activity_count,6,Success
cost,groups,direct_cost,215.0,Success
cost,groups,expected_automated_activity_cost,52.667,Success
cost,groups,expected_desired_activity_count,2.0,Success
cost,groups,expected_direct_cost,71.667,Success
cost,groups,expected_fixed_cost,34.333,Success
cost,groups,expected_human_resource_count,3.0,Success
cost,groups,expected_inventory_cost,13.667,Success
cost,groups,expected_labor_cost,28.0,Success
cost,groups,expected_labor_cost_and_total_cost_ratio,0.368,Success
cost,groups,expected_maintenance_cost,19.0,Success
cost,groups,expected_missed_deadline_cost,32.0,Success
cost,groups,expected_overhead_cost,4.333,Success
cost,groups,expected_resource_count,2.0,Success
cost,groups,expected_rework_cost,43.0,Success
cost,groups,expected_rework_count,6.0,Success
cost,groups,expected_rework_percentage,0.62,Success
cost,groups,expected_total_cost,76.0,Success
cost,groups,expected_total_cost_and_lead_time_ratio,5151.282,Success
cost,groups,expected_total_cost_and_outcome_unit_ratio,0.263,Success
cost,groups,expected_total_cost_and_service_time_ratio,8867.826,Success
cost,groups,expected_transportation_cost,15.667,Success
cost,groups,expected_variable_cost,41.667,Success
cost,groups,expected_warehousing_cost,0.0,Success
cost,groups,fixed_cost,103.0,Success
cost,groups,human_resource_and_case_count_ratio,3.0,Success
cost,groups,human_resource_count,9,Success
cost,groups,inventory_cost,41.0,Success
cost,groups,labor_cost,84.0,Success
cost,groups,labor_cost_and_total_cost_ratio,0.368,Success
cost,groups,maintenance_cost,57.0,Success
cost,groups,missed_deadline_cost,96.0,Success
cost,groups,overhead_cost,13.0,Success
cost,groups,resource_count,2,Success
cost,groups,rework_cost,129.0,Success
cost,groups,rework_count,18,Success
cost,groups,rework_percentage,0.621,Success
cost,groups,total_cost,228.0,Success
cost,groups,total_cost_and_lead_time_ratio,4914.97,Success
cost,groups,total_cost_and_outcome_unit_ratio,0.263,Success
cost,groups,total_cost_and_service_time_ratio,8126.733,Success
cost,groups,transportation_cost,47.0,Success
cost,groups,variable_cost,125.0,Success
cost,groups,warehousing_cost,0.0,Success
cost,instances,fixed_cost_for_single_events_of_activity_instances,4.0,Success
cost,instances,fixed_cost_for_sum_of_all_events_of_activity_instances,8.0,Success
cost,instances,inventory_cost_for_single_events_of_activity_instances,1.0,Success
cost,instances,inventory_cost_for_sum_of_all_events_of_activity_instances,2.0,Success
cost,instances,labor_cost_and_total_cost_ratio,0.444,Success
cost,instances,labor_cost_for_single_events_of_activity_instances,4.0,Success
cost,instances,labor_cost_for_sum_of_all_events_of_activity_instances,8.0,Success
cost,instances,total_cost_and_lead_time_ratio,5400.0,Success
cost,instances,total_cost_and_outcome_unit_ratio,0.5,Success
cost,instances,total_cost_and_service_time_ratio,10800.0,Success
cost,instances,total_cost_for_single_events_of_activity_instances,9.0,Success
cost,instances,total_cost_for_sum_of_all_events_of_activity_instances,18.0,Success
cost,instances,variable_cost_for_single_events_of_activity_instances,5.0,Success
cost,instances,variable_cost_for_sum_of_all_events_of_activity_instances,10.0,Success
flexibility,activities,activity_instance_and_human_resource_count_ratio,28.0,Success
flexibility,activities,client_count,6,Success
flexibility,activities,directly_follows_relations_count,4,Success
flexibility,activities,human_resource_count,3,Success
flexibility,cases,activity_and_role_count_ratio,2.0,Success
flexibility,cases,activity_instance_and_human_resource_count_ratio,3.0,Success
flexibility,cases,directly_follows_relations_and_activity_count_ratio,1.75,Success
flexibility,cases,directly_follows_relations_count,7,Success
flexibility,cases,human_resource_count,3,Success
flexibility,cases,optional_activity_count,4,Success
flexibility,cases,optionality,1.0,Success
flexibility,cases,role_count,2,Success
flexibility,cases,variant_case_coverage,0.053,Success
